Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Wed Feb 2 2022,Florida State,69,Clemson,75,,
Wed Feb 2 2022,Notre Dame,68,Miami (FL),64,,
Wed Feb 2 2022,Syracuse,89,NC State,82,,
Wed Feb 2 2022,Georgia Tech,66,Virginia Tech,81,,
Wed Feb 2 2022,Pittsburgh,75,Wake Forest,91,,
Sat Feb 5 2022,Wake Forest,68,Florida State,60,,
Sat Feb 5 2022,Clemson,64,Georgia Tech,69,,
Sat Feb 5 2022,Notre Dame,69,NC State,57,,
Sat Feb 5 2022,Duke,87,North Carolina,67,,
Sat Feb 5 2022,Virginia Tech,76,Pittsburgh,71,,
Sat Feb 5 2022,Louisville,69,Syracuse,92,,
Sat Feb 5 2022,Miami (FL),58,Virginia,71,,
Mon Feb 7 2022,Virginia,69,Duke,68,,
Mon Feb 7 2022,Pittsburgh,47,Virginia Tech,74,,
Tue Feb 8 2022,Syracuse,73,Boston College,64,,
Tue Feb 8 2022,North Carolina,79,Clemson,77,,
Wed Feb 9 2022,Pittsburgh,56,Florida State,51,,
Wed Feb 9 2022,Georgia Tech,70,Miami (FL),79,,
Wed Feb 9 2022,Wake Forest,69,NC State,51,,
Wed Feb 9 2022,Louisville,57,Notre Dame,63,,
Thu Feb 10 2022,Duke,82,Clemson,64,,
Sat Feb 12 2022,Duke,72,Boston College,61,,
Sat Feb 12 2022,Notre Dame,76,Clemson,61,,
Sat Feb 12 2022,Florida State,74,North Carolina,94,,
Sat Feb 12 2022,NC State,69,Pittsburgh,71,,
Sat Feb 12 2022,Georgia Tech,53,Virginia,63,,
Sat Feb 12 2022,Syracuse,59,Virginia Tech,71,,
Sat Feb 12 2022,Miami (FL),76,Wake Forest,72,,
Mon Feb 14 2022,Virginia,53,Virginia Tech,62,,
Tue Feb 15 2022,Wake Forest,74,Duke,76,,
Tue Feb 15 2022,Clemson,80,Florida State,81,,
Tue Feb 15 2022,NC State,76,Georgia Tech,61,,
Wed Feb 16 2022,Miami (FL),70,Louisville,63,,
Wed Feb 16 2022,Pittsburgh,76,North Carolina,67,,
Wed Feb 16 2022,Boston College,95,Notre Dame,99,OT,
Sat Feb 19 2022,Florida State,70,Duke,88,,
Sat Feb 19 2022,Clemson,61,Louisville,70,,
Sat Feb 19 2022,Virginia,74,Miami (FL),71,,
Sat Feb 19 2022,Georgia Tech,68,Pittsburgh,62,,
Sat Feb 19 2022,Boston College,56,Syracuse,76,,
Sat Feb 19 2022,North Carolina,65,Virginia Tech,57,,
Sat Feb 19 2022,Notre Dame,74,Wake Forest,79,,
Mon Feb 21 2022,Florida State,55,Boston College,71,,
Mon Feb 21 2022,Louisville,63,North Carolina,70,,
Mon Feb 21 2022,Georgia Tech,73,Syracuse,74,OT,
Tue Feb 22 2022,Miami (FL),85,Pittsburgh,64,,
Wed Feb 23 2022,Wake Forest,69,Clemson,80,,
Wed Feb 23 2022,Virginia Tech,62,Georgia Tech,58,,
Wed Feb 23 2022,Boston College,69,NC State,61,,
Wed Feb 23 2022,Syracuse,69,Notre Dame,79,,
Wed Feb 23 2022,Duke,65,Virginia,61,,
Sat Feb 26 2022,Clemson,70,Boston College,60,,
Sat Feb 26 2022,Virginia Tech,71,Miami (FL),70,,
Sat Feb 26 2022,North Carolina,84,NC State,74,,
Sat Feb 26 2022,Georgia Tech,56,Notre Dame,90,,
Sat Feb 26 2022,Duke,97,Syracuse,72,,
Sat Feb 26 2022,Florida State,64,Virginia,63,,
Sat Feb 26 2022,Louisville,77,Wake Forest,99,,
Mon Feb 28 2022,Syracuse,79,North Carolina,88,OT,
Tue Mar 1 2022,Duke,86,Pittsburgh,56,,
Tue Mar 1 2022,Louisville,43,Virginia Tech,75,,
Wed Mar 2 2022,Miami (FL),81,Boston College,70,,
Wed Mar 2 2022,Georgia Tech,65,Clemson,68,,
Wed Mar 2 2022,Notre Dame,70,Florida State,74,,
Wed Mar 2 2022,NC State,76,Wake Forest,101,,
Sat Mar 5 2022,Virginia Tech,59,Clemson,63,,
Sat Mar 5 2022,North Carolina,94,Duke,81,,
Sat Mar 5 2022,NC State,76,Florida State,89,,
Sat Mar 5 2022,Boston College,78,Georgia Tech,82,OT,
Sat Mar 5 2022,Virginia,71,Louisville,61,,
Sat Mar 5 2022,Pittsburgh,54,Notre Dame,78,,
Sat Mar 5 2022,Miami (FL),75,Syracuse,72,,
Tue Mar 8 2022,NC State,64,Clemson,70,,First Round
Tue Mar 8 2022,Georgia Tech,74,Louisville,84,,First Round
Tue Mar 8 2022,Boston College,66,Pittsburgh,46,,First Round
Wed Mar 9 2022,Syracuse,96,Florida State,57,,Second Round
Wed Mar 9 2022,Louisville,50,Virginia,51,,Second Round
Wed Mar 9 2022,Clemson,75,Virginia Tech,76,OT,Second Round
Wed Mar 9 2022,Boston College,82,Wake Forest,77,OT,Second Round
Thu Mar 10 2022,Syracuse,79,Duke,88,,Quarterfinals
Thu Mar 10 2022,Boston College,69,Miami (FL),71,OT,Quarterfinals
Thu Mar 10 2022,Virginia,43,North Carolina,63,,Quarterfinals
Thu Mar 10 2022,Virginia Tech,87,Notre Dame,80,,Quarterfinals
Fri Mar 11 2022,Miami (FL),76,Duke,80,,Semifinals
Fri Mar 11 2022,Virginia Tech,72,North Carolina,59,,Semifinals
Sat Mar 12 2022,Virginia Tech,82,Duke,67,,Championship
