Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Fri Dec 3 2021,Notre Dame,57,Boston College,73,,
Fri Dec 3 2021,Pittsburgh,56,Virginia,57,,
Sat Dec 4 2021,Syracuse,63,Florida State,60,,
Sat Dec 4 2021,Clemson,75,Miami (FL),80,,
Sat Dec 4 2021,Louisville,73,NC State,68,,
Sat Dec 4 2021,Wake Forest,80,Virginia Tech,61,,
Sun Dec 5 2021,North Carolina,79,Georgia Tech,62,,
Wed Dec 22 2021,Virginia Tech,65,Duke,76,,
Wed Dec 22 2021,Clemson,67,Virginia,50,,
Tue Dec 28 2021,Notre Dame,68,Pittsburgh,67,,
Wed Dec 29 2021,Wake Forest,69,Louisville,73,,
Wed Dec 29 2021,NC State,83,Miami (FL),91,,
Sat Jan 1 2022,Wake Forest,84,Miami (FL),92,,
Sat Jan 1 2022,Florida State,83,NC State,81,,
Sat Jan 1 2022,Virginia,74,Syracuse,69,,
Sun Jan 2 2022,North Carolina,91,Boston College,65,,
Sun Jan 2 2022,Louisville,67,Georgia Tech,64,,
Tue Jan 4 2022,Virginia,75,Clemson,65,,
Tue Jan 4 2022,Georgia Tech,57,Duke,69,,
Tue Jan 4 2022,NC State,68,Virginia Tech,63,,
Tue Jan 4 2022,Florida State,54,Wake Forest,76,,
Wed Jan 5 2022,Pittsburgh,72,Louisville,75,,
Wed Jan 5 2022,Syracuse,87,Miami (FL),88,,
Wed Jan 5 2022,North Carolina,73,Notre Dame,78,,
Sat Jan 8 2022,Miami (FL),76,Duke,74,,
Sat Jan 8 2022,Louisville,70,Florida State,79,,
Sat Jan 8 2022,Notre Dame,72,Georgia Tech,68,OT,
Sat Jan 8 2022,Clemson,70,NC State,65,,
Sat Jan 8 2022,Virginia,58,North Carolina,74,,
Sat Jan 8 2022,Boston College,67,Pittsburgh,69,,
Sat Jan 8 2022,Syracuse,74,Wake Forest,77,OT,
Tue Jan 11 2022,Miami (FL),64,Florida State,65,,
Tue Jan 11 2022,Pittsburgh,61,Syracuse,77,,
Wed Jan 12 2022,Georgia Tech,81,Boston College,76,,
Wed Jan 12 2022,NC State,79,Louisville,63,,
Wed Jan 12 2022,Clemson,56,Notre Dame,72,,
Wed Jan 12 2022,Virginia Tech,52,Virginia,54,,
Wed Jan 12 2022,Duke,76,Wake Forest,64,,
Sat Jan 15 2022,Boston College,70,Clemson,68,,
Sat Jan 15 2022,NC State,73,Duke,88,,
Sat Jan 15 2022,Georgia Tech,65,North Carolina,88,,
Sat Jan 15 2022,Louisville,53,Pittsburgh,65,,
Sat Jan 15 2022,Florida State,76,Syracuse,71,,
Sat Jan 15 2022,Wake Forest,63,Virginia,55,,
Sat Jan 15 2022,Notre Dame,73,Virginia Tech,79,,
Tue Jan 18 2022,Duke,78,Florida State,79,OT,
Tue Jan 18 2022,North Carolina,57,Miami (FL),85,,
Tue Jan 18 2022,Clemson,78,Syracuse,91,,
Wed Jan 19 2022,Wake Forest,80,Georgia Tech,64,,
Wed Jan 19 2022,Boston College,54,Louisville,67,,
Wed Jan 19 2022,Virginia Tech,62,NC State,59,,
Wed Jan 19 2022,Virginia,66,Pittsburgh,61,,
Sat Jan 22 2022,Virginia Tech,63,Boston College,68,,
Sat Jan 22 2022,Pittsburgh,48,Clemson,75,,
Sat Jan 22 2022,Syracuse,59,Duke,79,,
Sat Jan 22 2022,Notre Dame,82,Louisville,70,,
Sat Jan 22 2022,Florida State,61,Miami (FL),60,,
Sat Jan 22 2022,Virginia,63,NC State,77,,
Sat Jan 22 2022,North Carolina,76,Wake Forest,98,,
Mon Jan 24 2022,Virginia Tech,68,North Carolina,78,,
Mon Jan 24 2022,Louisville,52,Virginia,64,,
Mon Jan 24 2022,Boston College,57,Wake Forest,87,,
Tue Jan 25 2022,Clemson,69,Duke,71,,
Tue Jan 25 2022,Syracuse,53,Pittsburgh,64,,
Wed Jan 26 2022,Florida State,61,Georgia Tech,75,,
Wed Jan 26 2022,Boston College,47,North Carolina,58,,
Wed Jan 26 2022,NC State,65,Notre Dame,73,,
Wed Jan 26 2022,Miami (FL),78,Virginia Tech,75,,
Sat Jan 29 2022,Virginia Tech,85,Florida State,72,,
Sat Jan 29 2022,Miami (FL),73,Georgia Tech,62,,
Sat Jan 29 2022,Duke,74,Louisville,65,,
Sat Jan 29 2022,NC State,80,North Carolina,100,,
Sat Jan 29 2022,Virginia,65,Notre Dame,69,,
Sat Jan 29 2022,Wake Forest,72,Syracuse,94,,
Sun Jan 30 2022,Pittsburgh,56,Boston College,69,,
Mon Jan 31 2022,Duke,57,Notre Dame,43,,
Tue Feb 1 2022,North Carolina,90,Louisville,83,OT,
Tue Feb 1 2022,Boston College,55,Virginia,67,,
