Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sat Dec 6 2014,Wake Forest,65,NC State,78,,
Sat Dec 13 2014,Florida State,63,Notre Dame,83,,
Sat Jan 3 2015,North Carolina,74,Clemson,50,,
Sat Jan 3 2015,Boston College,62,Duke,85,,
Sat Jan 3 2015,Virginia,89,Miami (FL),80,2OT,
Sat Jan 3 2015,Pittsburgh,50,NC State,68,,
Sat Jan 3 2015,Georgia Tech,76,Notre Dame,83,2OT,
Sat Jan 3 2015,Syracuse,68,Virginia Tech,66,,
Sun Jan 4 2015,Louisville,85,Wake Forest,76,,
Mon Jan 5 2015,Notre Dame,71,North Carolina,70,,
Tue Jan 6 2015,Pittsburgh,61,Boston College,60,OT,
Tue Jan 6 2015,Virginia Tech,75,Florida State,86,,
Wed Jan 7 2015,Syracuse,46,Georgia Tech,45,,
Wed Jan 7 2015,Clemson,52,Louisville,58,,
Wed Jan 7 2015,NC State,51,Virginia,61,,
Wed Jan 7 2015,Duke,73,Wake Forest,65,,
Sat Jan 10 2015,Boston College,56,Miami (FL),60,,
Sat Jan 10 2015,Louisville,71,North Carolina,72,,
Sat Jan 10 2015,Virginia,62,Notre Dame,56,,
Sat Jan 10 2015,Clemson,71,Pittsburgh,62,,
Sat Jan 10 2015,Georgia Tech,69,Wake Forest,76,,
Sun Jan 11 2015,Duke,75,NC State,87,,
Sun Jan 11 2015,Florida State,57,Syracuse,70,,
Tue Jan 13 2015,Miami (FL),90,Duke,74,,
Tue Jan 13 2015,Virginia Tech,63,Louisville,78,,
Tue Jan 13 2015,Wake Forest,83,Syracuse,86,OT,
Tue Jan 13 2015,Clemson,42,Virginia,65,,
Wed Jan 14 2015,Notre Dame,62,Georgia Tech,59,,
Wed Jan 14 2015,North Carolina,81,NC State,79,,
Wed Jan 14 2015,Florida State,64,Pittsburgh,73,,
Sat Jan 17 2015,Virginia,66,Boston College,51,,
Sat Jan 17 2015,Syracuse,53,Clemson,66,,
Sat Jan 17 2015,NC State,72,Florida State,63,,
Sat Jan 17 2015,Duke,63,Louisville,52,,
Sat Jan 17 2015,Miami (FL),70,Notre Dame,75,,
Sat Jan 17 2015,Georgia Tech,65,Pittsburgh,70,,
Sun Jan 18 2015,Virginia Tech,53,North Carolina,68,,
Mon Jan 19 2015,Florida State,59,Clemson,55,,
Mon Jan 19 2015,Pittsburgh,65,Duke,79,,
Tue Jan 20 2015,Boston College,61,Syracuse,69,,
Wed Jan 21 2015,North Carolina,87,Wake Forest,71,,
Thu Jan 22 2015,NC State,60,Miami (FL),65,,
Thu Jan 22 2015,Georgia Tech,28,Virginia,57,,
Thu Jan 22 2015,Notre Dame,85,Virginia Tech,60,,
Sat Jan 24 2015,Wake Forest,57,Clemson,59,,
Sat Jan 24 2015,Florida State,74,North Carolina,78,,
Sat Jan 24 2015,Miami (FL),66,Syracuse,62,,
Sun Jan 25 2015,Boston College,64,Georgia Tech,62,,
Sun Jan 25 2015,Notre Dame,81,NC State,78,OT,
Sun Jan 25 2015,Louisville,80,Pittsburgh,68,,
Sun Jan 25 2015,Virginia,50,Virginia Tech,47,,
Mon Jan 26 2015,Syracuse,83,North Carolina,93,,
Tue Jan 27 2015,Pittsburgh,67,Virginia Tech,70,OT,
Wed Jan 28 2015,Louisville,81,Boston College,72,,
Wed Jan 28 2015,Wake Forest,76,Florida State,82,2OT,
Wed Jan 28 2015,Georgia Tech,70,Miami (FL),50,,
Wed Jan 28 2015,Clemson,68,NC State,57,,
Wed Jan 28 2015,Duke,73,Notre Dame,77,,
Sat Jan 31 2015,Boston College,49,Clemson,64,,
Sat Jan 31 2015,NC State,81,Georgia Tech,80,OT,
Sat Jan 31 2015,North Carolina,68,Louisville,78,OT,
Sat Jan 31 2015,Notre Dame,72,Pittsburgh,76,,
Sat Jan 31 2015,Duke,69,Virginia,63,,
Sat Jan 31 2015,Virginia Tech,70,Wake Forest,73,,
Sun Feb 1 2015,Miami (FL),54,Florida State,55,,
Mon Feb 2 2015,Virginia,75,North Carolina,64,,
Tue Feb 3 2015,Louisville,63,Miami (FL),55,,
Tue Feb 3 2015,Virginia Tech,70,Syracuse,72,,
Tue Feb 3 2015,NC State,84,Wake Forest,88,,
Wed Feb 4 2015,Georgia Tech,66,Duke,72,,
Wed Feb 4 2015,Clemson,62,Florida State,56,,
Wed Feb 4 2015,Boston College,63,Notre Dame,71,,
Sat Feb 7 2015,North Carolina,79,Boston College,68,,
Sat Feb 7 2015,Notre Dame,60,Duke,90,,
Sat Feb 7 2015,Wake Forest,59,Georgia Tech,73,,
Sat Feb 7 2015,Syracuse,77,Pittsburgh,83,,
Sat Feb 7 2015,Louisville,47,Virginia,52,,
Sat Feb 7 2015,Florida State,73,Virginia Tech,65,,
Sun Feb 8 2015,Clemson,45,Miami (FL),56,,
Mon Feb 9 2015,Duke,73,Florida State,70,,
Mon Feb 9 2015,Georgia Tech,63,Virginia Tech,65,,
Tue Feb 10 2015,Notre Dame,60,Clemson,58,,
Wed Feb 11 2015,Syracuse,70,Boston College,56,,
Wed Feb 11 2015,Pittsburgh,56,Louisville,69,,
Wed Feb 11 2015,Virginia,51,NC State,47,,
Wed Feb 11 2015,Miami (FL),70,Wake Forest,72,,
Sat Feb 14 2015,Virginia Tech,54,Clemson,75,,
Sat Feb 14 2015,Florida State,57,Georgia Tech,53,,
Sat Feb 14 2015,NC State,74,Louisville,65,,
Sat Feb 14 2015,North Carolina,76,Pittsburgh,89,,
Sat Feb 14 2015,Duke,80,Syracuse,72,,
Sat Feb 14 2015,Wake Forest,60,Virginia,61,,
Mon Feb 16 2015,Miami (FL),89,Boston College,86,2OT,
Mon Feb 16 2015,Clemson,52,Georgia Tech,63,,
Mon Feb 16 2015,Pittsburgh,49,Virginia,61,,
Tue Feb 17 2015,Wake Forest,75,Notre Dame,88,,
Wed Feb 18 2015,North Carolina,90,Duke,92,OT,
Wed Feb 18 2015,Boston College,60,Florida State,69,,
Wed Feb 18 2015,Virginia Tech,52,Miami (FL),76,,
Wed Feb 18 2015,Louisville,59,Syracuse,69,,
Sat Feb 21 2015,Notre Dame,87,Boston College,70,,
Sat Feb 21 2015,Clemson,56,Duke,78,,
Sat Feb 21 2015,Miami (FL),53,Louisville,55,,
Sat Feb 21 2015,Virginia Tech,53,NC State,69,,
Sat Feb 21 2015,Georgia Tech,60,North Carolina,89,,
Sat Feb 21 2015,Pittsburgh,65,Syracuse,61,,
Sun Feb 22 2015,Florida State,41,Virginia,51,,
Mon Feb 23 2015,Louisville,52,Georgia Tech,51,,
Tue Feb 24 2015,NC State,58,North Carolina,46,,
Tue Feb 24 2015,Syracuse,65,Notre Dame,60,,
Tue Feb 24 2015,Boston College,65,Pittsburgh,71,,
Wed Feb 25 2015,Florida State,77,Miami (FL),81,,
Wed Feb 25 2015,Duke,91,Virginia Tech,86,OT,
Wed Feb 25 2015,Virginia,70,Wake Forest,34,,
Sat Feb 28 2015,NC State,63,Boston College,79,,
Sat Feb 28 2015,Georgia Tech,63,Clemson,70,OT,
Sat Feb 28 2015,Syracuse,54,Duke,73,,
Sat Feb 28 2015,Louisville,81,Florida State,59,,
Sat Feb 28 2015,North Carolina,73,Miami (FL),64,,
Sat Feb 28 2015,Virginia Tech,57,Virginia,69,,
Sun Mar 1 2015,Pittsburgh,66,Wake Forest,69,,
Mon Mar 2 2015,Virginia,59,Syracuse,47,,
Mon Mar 2 2015,Boston College,66,Virginia Tech,59,,
Tue Mar 3 2015,NC State,66,Clemson,61,,
Tue Mar 3 2015,North Carolina,81,Georgia Tech,49,,
Wed Mar 4 2015,Wake Forest,51,Duke,94,,
Wed Mar 4 2015,Notre Dame,71,Louisville,59,,
Wed Mar 4 2015,Miami (FL),67,Pittsburgh,63,,
Sat Mar 7 2015,Wake Forest,61,Boston College,79,,
Sat Mar 7 2015,Pittsburgh,52,Florida State,61,,
Sat Mar 7 2015,Virginia,57,Louisville,59,,
Sat Mar 7 2015,Syracuse,57,NC State,71,,
Sat Mar 7 2015,Duke,84,North Carolina,77,,
Sat Mar 7 2015,Clemson,67,Notre Dame,81,,
Sat Mar 7 2015,Miami (FL),82,Virginia Tech,61,,
Tue Mar 10 2015,Georgia Tech,65,Boston College,66,,ACC First Round
Tue Mar 10 2015,Wake Forest,80,Virginia Tech,81,,ACC First Round
Wed Mar 11 2015,North Carolina,81,Boston College,63,,ACC Second Round
Wed Mar 11 2015,Florida State,76,Clemson,73,,ACC Second Round
Wed Mar 11 2015,Virginia Tech,49,Miami (FL),59,,ACC Second Round
Wed Mar 11 2015,Pittsburgh,70,NC State,81,,ACC Second Round
Thu Mar 12 2015,NC State,53,Duke,77,,ACC Quarterfinal Round
Thu Mar 12 2015,Virginia,58,Florida State,44,,ACC Quarterfinal Round
Thu Mar 12 2015,North Carolina,70,Louisville,60,,ACC Quarterfinal Round
Thu Mar 12 2015,Notre Dame,70,Miami (FL),63,,ACC Quarterfinal Round
Fri Mar 13 2015,Notre Dame,74,Duke,64,,ACC Semifinal Rouind
Fri Mar 13 2015,Virginia,67,North Carolina,71,,ACC Semifinal Rouind
Sat Mar 14 2015,Notre Dame,90,North Carolina,82,,ACC Final Game
