Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Fri Dec 2 2022,Wake Forest,57,Clemson,77,,
Fri Dec 2 2022,Pittsburgh,68,NC State,60,,
Sat Dec 3 2022,Boston College,59,Duke,75,,
Sat Dec 3 2022,Syracuse,62,Notre Dame,61,,
Sat Dec 3 2022,Florida State,57,Virginia,62,,
Sun Dec 4 2022,Miami (FL),80,Louisville,53,,
Sun Dec 4 2022,North Carolina,72,Virginia Tech,80,,
Sat Dec 10 2022,Louisville,53,Florida State,75,,
Sat Dec 10 2022,NC State,73,Miami (FL),80,,
Sat Dec 10 2022,Georgia Tech,59,North Carolina,75,,
Tue Dec 20 2022,Virginia,64,Miami (FL),66,,
Tue Dec 20 2022,Pittsburgh,84,Syracuse,82,,
Tue Dec 20 2022,Duke,70,Wake Forest,81,,
Wed Dec 21 2022,Virginia Tech,65,Boston College,70,OT,
Wed Dec 21 2022,Notre Dame,72,Florida State,73,,
Wed Dec 21 2022,Clemson,79,Georgia Tech,66,,
Thu Dec 22 2022,Louisville,64,NC State,76,,
Fri Dec 30 2022,NC State,64,Clemson,78,,
Fri Dec 30 2022,Miami (FL),76,Notre Dame,65,,
Fri Dec 30 2022,North Carolina,74,Pittsburgh,76,,
Sat Dec 31 2022,Florida State,67,Duke,86,,
Sat Dec 31 2022,Virginia,74,Georgia Tech,56,,
Sat Dec 31 2022,Boston College,65,Syracuse,79,,
Sat Dec 31 2022,Virginia Tech,75,Wake Forest,77,,
Tue Jan 3 2023,Notre Dame,63,Boston College,70,,
Tue Jan 3 2023,Syracuse,70,Louisville,69,,
Tue Jan 3 2023,Virginia,65,Pittsburgh,68,,
Wed Jan 4 2023,Miami (FL),70,Georgia Tech,76,,
Wed Jan 4 2023,Duke,60,NC State,84,,
Wed Jan 4 2023,Wake Forest,79,North Carolina,88,,
Wed Jan 4 2023,Clemson,68,Virginia Tech,65,,
Sat Jan 7 2023,Duke,65,Boston College,64,,
Sat Jan 7 2023,Georgia Tech,64,Florida State,75,,
Sat Jan 7 2023,Wake Forest,80,Louisville,72,,
Sat Jan 7 2023,Notre Dame,64,North Carolina,81,,
Sat Jan 7 2023,Clemson,75,Pittsburgh,74,,
Sat Jan 7 2023,Syracuse,66,Virginia,73,,
Sat Jan 7 2023,NC State,73,Virginia Tech,69,,
Tue Jan 10 2023,Georgia Tech,72,Notre Dame,73,OT,
Tue Jan 10 2023,North Carolina,58,Virginia,65,,
Wed Jan 11 2023,Louisville,70,Clemson,83,,
Wed Jan 11 2023,Pittsburgh,69,Duke,77,,
Wed Jan 11 2023,Boston College,72,Miami (FL),88,,
Wed Jan 11 2023,Virginia Tech,72,Syracuse,82,,
Wed Jan 11 2023,Florida State,75,Wake Forest,90,,
Sat Jan 14 2023,Wake Forest,85,Boston College,63,,
Sat Jan 14 2023,Duke,64,Clemson,72,,
Sat Jan 14 2023,Virginia,67,Florida State,58,,
Sat Jan 14 2023,Pittsburgh,71,Georgia Tech,60,,
Sat Jan 14 2023,North Carolina,80,Louisville,59,,
Sat Jan 14 2023,Miami (FL),81,NC State,83,OT,
Sat Jan 14 2023,Notre Dame,73,Syracuse,78,,
Mon Jan 16 2023,Syracuse,78,Miami (FL),82,,
Tue Jan 17 2023,NC State,78,Georgia Tech,66,,
Tue Jan 17 2023,Boston College,64,North Carolina,72,,
Tue Jan 17 2023,Florida State,84,Notre Dame,71,,
Tue Jan 17 2023,Clemson,77,Wake Forest,87,,
Wed Jan 18 2023,Pittsburgh,75,Louisville,54,,
Wed Jan 18 2023,Virginia Tech,68,Virginia,78,,
Sat Jan 21 2023,Virginia Tech,50,Clemson,51,,
Sat Jan 21 2023,Miami (FL),66,Duke,68,,
Sat Jan 21 2023,Syracuse,80,Georgia Tech,63,,
Sat Jan 21 2023,NC State,69,North Carolina,80,,
Sat Jan 21 2023,Boston College,84,Notre Dame,72,,
Sat Jan 21 2023,Florida State,71,Pittsburgh,64,,
Sat Jan 21 2023,Virginia,76,Wake Forest,67,,
Mon Jan 23 2023,Duke,75,Virginia Tech,78,,
Tue Jan 24 2023,Georgia Tech,51,Clemson,72,,
Tue Jan 24 2023,Miami (FL),86,Florida State,63,,
Tue Jan 24 2023,Notre Dame,82,NC State,85,,
Tue Jan 24 2023,North Carolina,72,Syracuse,68,,
Wed Jan 25 2023,Louisville,65,Boston College,75,,
Wed Jan 25 2023,Wake Forest,79,Pittsburgh,81,,
Sat Jan 28 2023,Clemson,82,Florida State,81,,
Sat Jan 28 2023,Duke,86,Georgia Tech,43,,
Sat Jan 28 2023,Louisville,62,Notre Dame,76,,
Sat Jan 28 2023,Miami (FL),68,Pittsburgh,71,,
Sat Jan 28 2023,Boston College,57,Virginia,76,,
Sat Jan 28 2023,Syracuse,70,Virginia Tech,85,,
Sat Jan 28 2023,NC State,79,Wake Forest,77,,
Mon Jan 30 2023,Virginia,67,Syracuse,62,,
Tue Jan 31 2023,Clemson,54,Boston College,62,,
Tue Jan 31 2023,Wake Forest,73,Duke,75,,
Tue Jan 31 2023,Virginia Tech,83,Miami (FL),92,,
Wed Feb 1 2023,Georgia Tech,58,Louisville,68,,
Wed Feb 1 2023,Florida State,66,NC State,94,,
Wed Feb 1 2023,Pittsburgh,65,North Carolina,64,,
Sat Feb 4 2023,Syracuse,77,Boston College,68,,
Sat Feb 4 2023,Miami (FL),78,Clemson,74,,
Sat Feb 4 2023,North Carolina,57,Duke,63,,
Sat Feb 4 2023,Florida State,81,Louisville,78,,
Sat Feb 4 2023,Georgia Tech,64,NC State,72,,
Sat Feb 4 2023,Wake Forest,81,Notre Dame,64,,
Sat Feb 4 2023,Virginia,68,Virginia Tech,74,,
Mon Feb 6 2023,Duke,59,Miami (FL),81,,
Tue Feb 7 2023,Louisville,57,Pittsburgh,91,,
Tue Feb 7 2023,NC State,50,Virginia,63,,
Tue Feb 7 2023,North Carolina,85,Wake Forest,92,,
Wed Feb 8 2023,Syracuse,76,Florida State,67,,
Wed Feb 8 2023,Notre Dame,68,Georgia Tech,70,,
Wed Feb 8 2023,Boston College,82,Virginia Tech,76,,
Sat Feb 11 2023,NC State,92,Boston College,62,,
