Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sat Dec 9 2017,Duke,84,Boston College,89,,
Sat Dec 30 2017,NC State,62,Clemson,78,,
Sat Dec 30 2017,Florida State,93,Duke,100,,
Sat Dec 30 2017,Wake Forest,69,North Carolina,73,,
Sat Dec 30 2017,Georgia Tech,59,Notre Dame,68,,
Sat Dec 30 2017,Miami (FL),67,Pittsburgh,53,,
Sat Dec 30 2017,Boston College,58,Virginia,59,,
Sun Dec 31 2017,Virginia Tech,56,Syracuse,68,,
Tue Jan 2 2018,Pittsburgh,51,Louisville,77,,
Wed Jan 3 2018,Clemson,74,Boston College,70,,
Wed Jan 3 2018,North Carolina,80,Florida State,81,,
Wed Jan 3 2018,Miami (FL),54,Georgia Tech,64,,
Wed Jan 3 2018,NC State,58,Notre Dame,88,,
Wed Jan 3 2018,Virginia,78,Virginia Tech,52,,
Wed Jan 3 2018,Syracuse,67,Wake Forest,73,,
Sat Jan 6 2018,Wake Forest,71,Boston College,77,,
Sat Jan 6 2018,Louisville,69,Clemson,74,OT,
Sat Jan 6 2018,Duke,85,NC State,96,,
Sat Jan 6 2018,Notre Dame,51,Syracuse,49,,
Sat Jan 6 2018,North Carolina,49,Virginia,61,,
Sat Jan 6 2018,Pittsburgh,67,Virginia Tech,81,,
Sun Jan 7 2018,Florida State,74,Miami (FL),80,,
Tue Jan 9 2018,Boston College,66,North Carolina,96,,
Tue Jan 9 2018,Syracuse,61,Virginia,68,,
Wed Jan 10 2018,Louisville,73,Florida State,69,,
Wed Jan 10 2018,Notre Dame,53,Georgia Tech,60,,
Wed Jan 10 2018,Duke,87,Pittsburgh,52,,
Wed Jan 10 2018,Virginia Tech,83,Wake Forest,75,,
Thu Jan 11 2018,Clemson,77,NC State,78,,
Sat Jan 13 2018,Miami (FL),63,Clemson,72,,
Sat Jan 13 2018,Wake Forest,71,Duke,89,,
Sat Jan 13 2018,Syracuse,90,Florida State,101,2OT,
Sat Jan 13 2018,Virginia Tech,86,Louisville,94,,
Sat Jan 13 2018,North Carolina,69,Notre Dame,68,,
Sat Jan 13 2018,Georgia Tech,69,Pittsburgh,54,,
Sun Jan 14 2018,NC State,51,Virginia,68,,
Mon Jan 15 2018,Florida State,75,Boston College,81,,
Mon Jan 15 2018,Duke,83,Miami (FL),75,,
Tue Jan 16 2018,Clemson,79,North Carolina,87,,
Tue Jan 16 2018,Louisville,82,Notre Dame,78,2OT,
Tue Jan 16 2018,Pittsburgh,45,Syracuse,59,,
Thu Jan 18 2018,Virginia,64,Georgia Tech,48,,
Thu Jan 18 2018,Wake Forest,63,NC State,72,,
Sat Jan 20 2018,Notre Dame,58,Clemson,67,,
Sat Jan 20 2018,Pittsburgh,54,Duke,81,,
Sat Jan 20 2018,Georgia Tech,66,North Carolina,80,,
Sat Jan 20 2018,Florida State,91,Virginia Tech,82,,
Sun Jan 21 2018,Boston College,69,Louisville,77,,
Sun Jan 21 2018,Miami (FL),86,NC State,81,,
Sun Jan 21 2018,Virginia,59,Wake Forest,49,,
Mon Jan 22 2018,North Carolina,69,Virginia Tech,80,,
Tue Jan 23 2018,Clemson,36,Virginia,61,,
Tue Jan 23 2018,Duke,84,Wake Forest,70,,
Wed Jan 24 2018,Georgia Tech,77,Florida State,88,,
Wed Jan 24 2018,Louisville,75,Miami (FL),78,OT,
Wed Jan 24 2018,NC State,72,Pittsburgh,68,,
Wed Jan 24 2018,Boston College,63,Syracuse,81,,
Sat Jan 27 2018,Virginia,65,Duke,63,,
Sat Jan 27 2018,Miami (FL),94,Florida State,103,OT,
Sat Jan 27 2018,Wake Forest,77,Louisville,96,,
Sat Jan 27 2018,NC State,95,North Carolina,91,OT,
Sat Jan 27 2018,Virginia Tech,80,Notre Dame,75,,
Sat Jan 27 2018,Syracuse,60,Pittsburgh,55,,
Sun Jan 28 2018,Clemson,72,Georgia Tech,70,,
Mon Jan 29 2018,Notre Dame,66,Duke,88,,
Tue Jan 30 2018,North Carolina,78,Clemson,82,,
Wed Jan 31 2018,Virginia Tech,85,Boston College,80,OT,
Wed Jan 31 2018,Syracuse,51,Georgia Tech,55,,
Wed Jan 31 2018,Pittsburgh,57,Miami (FL),69,,
Wed Jan 31 2018,Louisville,64,Virginia,74,,
Wed Jan 31 2018,Florida State,72,Wake Forest,76,,
Sat Feb 3 2018,Florida State,80,Louisville,76,,
Sat Feb 3 2018,Notre Dame,58,NC State,76,,
Sat Feb 3 2018,Pittsburgh,65,North Carolina,96,,
Sat Feb 3 2018,Virginia,59,Syracuse,44,,
Sat Feb 3 2018,Miami (FL),84,Virginia Tech,75,,
Sat Feb 3 2018,Clemson,75,Wake Forest,67,,
Sun Feb 4 2018,Georgia Tech,72,Boston College,80,OT,
Mon Feb 5 2018,Syracuse,78,Louisville,73,,
Tue Feb 6 2018,Boston College,85,Notre Dame,96,,
Wed Feb 7 2018,Virginia,59,Florida State,55,,
Wed Feb 7 2018,Wake Forest,81,Miami (FL),87,,
Wed Feb 7 2018,NC State,75,Virginia Tech,85,,
Thu Feb 8 2018,Pittsburgh,48,Clemson,72,,
Thu Feb 8 2018,Georgia Tech,54,Louisville,77,,
Thu Feb 8 2018,Duke,78,North Carolina,82,,
Sat Feb 10 2018,Miami (FL),70,Boston College,72,,
Sat Feb 10 2018,North Carolina,96,NC State,89,,
Sat Feb 10 2018,Florida State,69,Notre Dame,84,,
Sat Feb 10 2018,Virginia Tech,61,Virginia,60,OT,
Sun Feb 11 2018,Duke,80,Georgia Tech,69,,
Sun Feb 11 2018,Louisville,94,Pittsburgh,60,,
Sun Feb 11 2018,Wake Forest,70,Syracuse,78,,
Mon Feb 12 2018,Notre Dame,66,North Carolina,83,,
Tue Feb 13 2018,Virginia,59,Miami (FL),50,,
Tue Feb 13 2018,Boston College,81,Pittsburgh,58,,
Wed Feb 14 2018,Virginia Tech,52,Duke,74,,
Wed Feb 14 2018,Clemson,79,Florida State,81,OT,
Wed Feb 14 2018,NC State,74,Syracuse,70,,
Wed Feb 14 2018,Georgia Tech,62,Wake Forest,79,,
Sat Feb 17 2018,Notre Dame,84,Boston College,67,,
Sat Feb 17 2018,Virginia Tech,76,Georgia Tech,56,,
Sat Feb 17 2018,North Carolina,93,Louisville,76,,
Sat Feb 17 2018,Syracuse,62,Miami (FL),55,,
Sat Feb 17 2018,NC State,90,Wake Forest,84,,
Sun Feb 18 2018,Duke,66,Clemson,57,,
Sun Feb 18 2018,Pittsburgh,75,Florida State,88,,
Mon Feb 19 2018,Miami (FL),77,Notre Dame,74,,
Tue Feb 20 2018,Boston College,66,NC State,82,,
Wed Feb 21 2018,Louisville,56,Duke,82,,
Wed Feb 21 2018,Wake Forest,63,Pittsburgh,57,,
Wed Feb 21 2018,North Carolina,78,Syracuse,74,,
Wed Feb 21 2018,Georgia Tech,54,Virginia,65,,
Wed Feb 21 2018,Clemson,58,Virginia Tech,65,,
Sat Feb 24 2018,Georgia Tech,67,Clemson,75,,
Sat Feb 24 2018,Syracuse,44,Duke,60,,
Sat Feb 24 2018,Boston College,78,Miami (FL),79,,
Sat Feb 24 2018,Virginia,66,Pittsburgh,37,,
Sat Feb 24 2018,Louisville,75,Virginia Tech,68,,
Sat Feb 24 2018,Notre Dame,76,Wake Forest,71,,
Sun Feb 25 2018,Florida State,72,NC State,92,,
Mon Feb 26 2018,Duke,63,Virginia Tech,64,,
Tue Feb 27 2018,Miami (FL),91,North Carolina,88,,
Wed Feb 28 2018,Syracuse,70,Boston College,85,,
Wed Feb 28 2018,Florida State,63,Clemson,76,,
Wed Feb 28 2018,Pittsburgh,56,Notre Dame,73,,
Thu Mar 1 2018,NC State,75,Georgia Tech,78,,
Thu Mar 1 2018,Virginia,67,Louisville,66,,
Sat Mar 3 2018,North Carolina,64,Duke,74,,
Sat Mar 3 2018,Boston College,76,Florida State,85,,
Sat Mar 3 2018,Wake Forest,56,Georgia Tech,64,,
Sat Mar 3 2018,Virginia Tech,68,Miami (FL),69,,
Sat Mar 3 2018,Louisville,69,NC State,76,,
Sat Mar 3 2018,Clemson,52,Syracuse,55,,
Sat Mar 3 2018,Notre Dame,57,Virginia,62,,
Tue Mar 6 2018,Georgia Tech,77,Boston College,87,,First Round
Tue Mar 6 2018,Pittsburgh,64,Notre Dame,67,,First Round
Tue Mar 6 2018,Wake Forest,64,Syracuse,73,,First Round
Wed Mar 7 2018,Louisville,82,Florida State,74,,Second Round
Wed Mar 7 2018,Boston College,91,NC State,87,,Second Round
Wed Mar 7 2018,Syracuse,59,North Carolina,78,,Second Round
Wed Mar 7 2018,Notre Dame,71,Virginia Tech,65,,Second Round
Thu Mar 8 2018,Boston College,82,Clemson,90,,Quarterfinal
Thu Mar 8 2018,Notre Dame,70,Duke,88,,Quarterfinal
Thu Mar 8 2018,North Carolina,82,Miami (FL),65,,Quarterfinal
Thu Mar 8 2018,Louisville,58,Virginia,75,,Quarterfinal
Fri Mar 9 2018,North Carolina,74,Duke,69,,Semifinal
Fri Mar 9 2018,Clemson,58,Virginia,64,,Semifinal
Sat Mar 10 2018,North Carolina,63,Virginia,71,,Final
