Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sat Jan 5 2013,NC State,78,Boston College,73,,
Sat Jan 5 2013,Florida State,71,Clemson,66,,
Sat Jan 5 2013,Wake Forest,62,Duke,80,,
Sat Jan 5 2013,Miami (FL),62,Georgia Tech,49,,
Sat Jan 5 2013,Virginia Tech,71,Maryland,94,,
Sun Jan 6 2013,North Carolina,52,Virginia,61,,
Tue Jan 8 2013,Clemson,40,Duke,68,,
Wed Jan 9 2013,Florida State,65,Maryland,62,,
Wed Jan 9 2013,Georgia Tech,70,NC State,83,,
Wed Jan 9 2013,Boston College,86,Virginia Tech,75,,
Wed Jan 9 2013,Virginia,52,Wake Forest,55,,
Thu Jan 10 2013,Miami (FL),68,North Carolina,59,,
Sat Jan 12 2013,Virginia,44,Clemson,59,,
Sat Jan 12 2013,North Carolina,77,Florida State,72,,
Sat Jan 12 2013,Virginia Tech,70,Georgia Tech,65,OT,
Sat Jan 12 2013,Duke,76,NC State,84,,
Sat Jan 12 2013,Boston College,72,Wake Forest,75,,
Sun Jan 13 2013,Maryland,47,Miami (FL),54,,
Tue Jan 15 2013,Wake Forest,44,Clemson,60,,
Wed Jan 16 2013,Miami (FL),60,Boston College,59,,
Wed Jan 16 2013,NC State,50,Maryland,51,,
Thu Jan 17 2013,Georgia Tech,57,Duke,73,,
Sat Jan 19 2013,Maryland,52,North Carolina,62,,
Sat Jan 19 2013,Florida State,36,Virginia,56,,
Sat Jan 19 2013,Wake Forest,65,Virginia Tech,66,,
Sun Jan 20 2013,Clemson,62,NC State,66,,
Tue Jan 22 2013,Boston College,59,Maryland,64,,
Tue Jan 22 2013,NC State,84,Wake Forest,86,,
Wed Jan 23 2013,Duke,63,Miami (FL),90,,
Wed Jan 23 2013,Georgia Tech,63,North Carolina,79,,
Thu Jan 24 2013,Clemson,57,Florida State,60,,
Thu Jan 24 2013,Virginia,74,Virginia Tech,58,,
Sat Jan 26 2013,Maryland,64,Duke,84,,
Sat Jan 26 2013,Wake Forest,62,Georgia Tech,82,,
Sat Jan 26 2013,North Carolina,83,NC State,91,,
Sat Jan 26 2013,Boston College,51,Virginia,65,,
Sun Jan 27 2013,Virginia Tech,70,Clemson,77,,
Sun Jan 27 2013,Florida State,47,Miami (FL),71,,
Tue Jan 29 2013,North Carolina,82,Boston College,70,,
Tue Jan 29 2013,Georgia Tech,60,Clemson,63,,
Tue Jan 29 2013,NC State,55,Virginia,58,,
Wed Jan 30 2013,Maryland,71,Florida State,73,,
Wed Jan 30 2013,Miami (FL),73,Virginia Tech,64,,
