Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Tue Nov 5 2019,Virginia Tech,67,Clemson,60,,
Tue Nov 5 2019,Louisville,87,Miami (FL),74,,
Tue Nov 5 2019,Georgia Tech,82,NC State,81,OT,
Wed Nov 6 2019,Wake Forest,70,Boston College,77,,
Wed Nov 6 2019,Notre Dame,65,North Carolina,76,,
Wed Nov 6 2019,Florida State,61,Pittsburgh,63,,
Wed Nov 6 2019,Virginia,48,Syracuse,34,,
Fri Dec 6 2019,Pittsburgh,46,Louisville,64,,
Fri Dec 6 2019,Duke,77,Virginia Tech,63,,
Sat Dec 7 2019,Syracuse,97,Georgia Tech,63,,
Sat Dec 7 2019,Boston College,73,Notre Dame,72,,
Sat Dec 7 2019,NC State,91,Wake Forest,82,,
Sun Dec 8 2019,Clemson,53,Florida State,72,,
Sun Dec 8 2019,North Carolina,47,Virginia,56,,
Tue Dec 31 2019,Miami (FL),73,Clemson,68,OT,
Tue Dec 31 2019,Boston College,49,Duke,88,,
Tue Dec 31 2019,Georgia Tech,58,Florida State,70,,
Sat Jan 4 2020,NC State,70,Clemson,81,,
Sat Jan 4 2020,Florida State,78,Louisville,65,,
Sat Jan 4 2020,Duke,95,Miami (FL),62,,
Sat Jan 4 2020,Georgia Tech,96,North Carolina,83,,
Sat Jan 4 2020,Wake Forest,69,Pittsburgh,65,,
Sat Jan 4 2020,Notre Dame,88,Syracuse,87,,
Sat Jan 4 2020,Virginia Tech,39,Virginia,65,,
Tue Jan 7 2020,Virginia,53,Boston College,60,,
Tue Jan 7 2020,Miami (FL),58,Louisville,74,,
Tue Jan 7 2020,Virginia Tech,67,Syracuse,63,,
Wed Jan 8 2020,Duke,73,Georgia Tech,64,,
Wed Jan 8 2020,Notre Dame,68,NC State,73,,
Wed Jan 8 2020,Pittsburgh,73,North Carolina,65,,
Wed Jan 8 2020,Florida State,78,Wake Forest,68,,
Sat Jan 11 2020,Georgia Tech,71,Boston College,52,,
Sat Jan 11 2020,Wake Forest,59,Duke,90,,
Sat Jan 11 2020,Clemson,79,North Carolina,76,OT,
Sat Jan 11 2020,Louisville,67,Notre Dame,64,,
Sat Jan 11 2020,Syracuse,63,Virginia,55,OT,
Sat Jan 11 2020,NC State,58,Virginia Tech,72,,
Sun Jan 12 2020,Pittsburgh,58,Miami (FL),66,,
Tue Jan 14 2020,Duke,72,Clemson,79,,
Tue Jan 14 2020,Louisville,73,Pittsburgh,68,OT,
Tue Jan 14 2020,Virginia Tech,80,Wake Forest,70,,
Wed Jan 15 2020,Virginia,50,Florida State,54,,
Wed Jan 15 2020,Notre Dame,78,Georgia Tech,74,,
Wed Jan 15 2020,Miami (FL),63,NC State,80,,
Wed Jan 15 2020,Boston College,50,Syracuse,76,,
Sat Jan 18 2020,Louisville,79,Duke,73,,
Sat Jan 18 2020,Virginia,63,Georgia Tech,58,,
Sat Jan 18 2020,Florida State,83,Miami (FL),79,OT,
Sat Jan 18 2020,Clemson,54,NC State,60,,
Sat Jan 18 2020,North Carolina,52,Pittsburgh,66,,
Sat Jan 18 2020,Syracuse,71,Virginia Tech,69,,
Sun Jan 19 2020,Boston College,62,Wake Forest,80,,
Mon Jan 20 2020,NC State,53,Virginia,51,,
Tue Jan 21 2020,Wake Forest,68,Clemson,71,,
Tue Jan 21 2020,Miami (FL),59,Duke,89,,
Wed Jan 22 2020,Georgia Tech,64,Louisville,68,,
Wed Jan 22 2020,Syracuse,84,Notre Dame,82,,
Wed Jan 22 2020,Boston College,72,Pittsburgh,74,,
Wed Jan 22 2020,North Carolina,77,Virginia Tech,79,2OT,
Sat Jan 25 2020,Virginia Tech,56,Boston College,61,,
Sat Jan 25 2020,Notre Dame,84,Florida State,85,,
Sat Jan 25 2020,NC State,58,Georgia Tech,64,,
Sat Jan 25 2020,Clemson,62,Louisville,80,,
Sat Jan 25 2020,Miami (FL),71,North Carolina,94,,
Sat Jan 25 2020,Pittsburgh,61,Syracuse,69,,
Sun Jan 26 2020,Virginia,65,Wake Forest,63,OT,
Mon Jan 27 2020,North Carolina,75,NC State,65,,
Tue Jan 28 2020,Syracuse,70,Clemson,71,,
Tue Jan 28 2020,Pittsburgh,67,Duke,79,,
Tue Jan 28 2020,Virginia Tech,61,Miami (FL),71,,
Tue Jan 28 2020,Florida State,56,Virginia,61,,
Wed Jan 29 2020,Louisville,86,Boston College,69,,
Wed Jan 29 2020,Wake Forest,80,Notre Dame,90,,
Sat Feb 1 2020,Louisville,77,NC State,57,,
Sat Feb 1 2020,Boston College,71,North Carolina,70,,
Sat Feb 1 2020,Georgia Tech,72,Notre Dame,80,,
Sat Feb 1 2020,Duke,97,Syracuse,88,,
Sat Feb 1 2020,Florida State,74,Virginia Tech,63,,
Sat Feb 1 2020,Clemson,44,Wake Forest,56,,
Sun Feb 2 2020,Miami (FL),57,Pittsburgh,62,,
Mon Feb 3 2020,North Carolina,59,Florida State,65,,
Tue Feb 4 2020,Duke,63,Boston College,55,,
Tue Feb 4 2020,Virginia Tech,57,Georgia Tech,76,,
Wed Feb 5 2020,Wake Forest,76,Louisville,86,,
Wed Feb 5 2020,NC State,83,Miami (FL),72,,
Wed Feb 5 2020,Pittsburgh,72,Notre Dame,80,,
Wed Feb 5 2020,Clemson,44,Virginia,51,,
Sat Feb 8 2020,Miami (FL),81,Florida State,99,,
Sat Feb 8 2020,Virginia,73,Louisville,80,,
Sat Feb 8 2020,Duke,98,North Carolina,96,OT,
Sat Feb 8 2020,Georgia Tech,64,Pittsburgh,73,,
Sat Feb 8 2020,Wake Forest,73,Syracuse,75,,
Sat Feb 8 2020,Boston College,77,Virginia Tech,73,OT,
Sun Feb 9 2020,Notre Dame,61,Clemson,57,,
Mon Feb 10 2020,Florida State,65,Duke,70,,
Tue Feb 11 2020,NC State,79,Syracuse,74,,
Tue Feb 11 2020,Notre Dame,49,Virginia,50,OT,
Tue Feb 11 2020,North Carolina,57,Wake Forest,74,,
Wed Feb 12 2020,Louisville,58,Georgia Tech,64,,
Wed Feb 12 2020,Boston College,58,Miami (FL),85,,
Wed Feb 12 2020,Clemson,72,Pittsburgh,52,,
Sat Feb 15 2020,Louisville,62,Clemson,77,,
Sat Feb 15 2020,Notre Dame,60,Duke,94,,
Sat Feb 15 2020,Syracuse,77,Florida State,80,,
Sat Feb 15 2020,Wake Forest,54,Miami (FL),71,,
Sat Feb 15 2020,Virginia,64,North Carolina,62,,
Sat Feb 15 2020,Pittsburgh,57,Virginia Tech,67,,
Sun Feb 16 2020,NC State,68,Boston College,71,,
Mon Feb 17 2020,North Carolina,76,Notre Dame,77,,
Tue Feb 18 2020,Pittsburgh,67,Florida State,82,,
Wed Feb 19 2020,Syracuse,66,Louisville,90,,
Wed Feb 19 2020,Duke,66,NC State,88,,
Wed Feb 19 2020,Boston College,65,Virginia,78,,
Wed Feb 19 2020,Miami (FL),102,Virginia Tech,95,3OT,
Wed Feb 19 2020,Georgia Tech,86,Wake Forest,79,,
Sat Feb 22 2020,Clemson,82,Boston College,64,,
Sat Feb 22 2020,Virginia Tech,64,Duke,88,,
Sat Feb 22 2020,North Carolina,55,Louisville,72,,
Sat Feb 22 2020,Florida State,67,NC State,61,,
Sat Feb 22 2020,Virginia,59,Pittsburgh,56,,
Sat Feb 22 2020,Georgia Tech,72,Syracuse,79,,
Sun Feb 23 2020,Miami (FL),71,Notre Dame,87,,
Mon Feb 24 2020,Louisville,67,Florida State,82,,
Tue Feb 25 2020,Clemson,59,Georgia Tech,68,,
Tue Feb 25 2020,NC State,79,North Carolina,85,,
Tue Feb 25 2020,Duke,101,Wake Forest,113,2OT,
