 
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Tue Jan 1 2019,Notre Dame,66,Virginia Tech,81,,
Thu Jan 3 2019,NC State,87,Miami (FL),82,,
Sat Jan 5 2019,Clemson,68,Duke,87,,
Sat Jan 5 2019,Wake Forest,79,Georgia Tech,92,,
Sat Jan 5 2019,Syracuse,72,Notre Dame,62,,
Sat Jan 5 2019,North Carolina,85,Pittsburgh,60,,
Sat Jan 5 2019,Florida State,52,Virginia,65,,
Sat Jan 5 2019,Boston College,66,Virginia Tech,77,,
Sun Jan 6 2019,Miami (FL),73,Louisville,90,,
Tue Jan 8 2019,North Carolina,90,NC State,82,,
Tue Jan 8 2019,Duke,87,Wake Forest,65,,
Wed Jan 9 2019,Virginia,83,Boston College,56,,
Wed Jan 9 2019,Miami (FL),62,Florida State,68,,
Wed Jan 9 2019,Virginia Tech,52,Georgia Tech,49,,
Wed Jan 9 2019,Louisville,86,Pittsburgh,89,OT,
Wed Jan 9 2019,Clemson,53,Syracuse,61,,
Sat Jan 12 2019,Virginia,63,Clemson,43,,
Sat Jan 12 2019,Duke,80,Florida State,78,,
Sat Jan 12 2019,Wake Forest,65,Miami (FL),76,,
Sat Jan 12 2019,Pittsburgh,80,NC State,86,,
Sat Jan 12 2019,Louisville,83,North Carolina,62,,
Sat Jan 12 2019,Boston College,66,Notre Dame,69,,
Sat Jan 12 2019,Georgia Tech,73,Syracuse,59,,
Mon Jan 14 2019,Syracuse,95,Duke,91,OT,
Mon Jan 14 2019,Florida State,62,Pittsburgh,75,,
Tue Jan 15 2019,Notre Dame,69,North Carolina,75,,
Tue Jan 15 2019,Virginia Tech,59,Virginia,81,,
Tue Jan 15 2019,NC State,67,Wake Forest,71,,
Wed Jan 16 2019,Georgia Tech,60,Clemson,72,,
Wed Jan 16 2019,Boston College,70,Louisville,80,,
Sat Jan 19 2019,Virginia,70,Duke,72,,
Sat Jan 19 2019,Louisville,79,Georgia Tech,51,,
Sat Jan 19 2019,North Carolina,85,Miami (FL),76,,
Sat Jan 19 2019,NC State,77,Notre Dame,73,,
Sat Jan 19 2019,Pittsburgh,63,Syracuse,74,,
Sat Jan 19 2019,Wake Forest,71,Virginia Tech,87,,
Sun Jan 20 2019,Florida State,82,Boston College,87,,
Mon Jan 21 2019,Virginia Tech,82,North Carolina,103,,
Tue Jan 22 2019,Clemson,68,Florida State,77,,
Tue Jan 22 2019,Notre Dame,61,Georgia Tech,63,,
Tue Jan 22 2019,Duke,79,Pittsburgh,64,,
Tue Jan 22 2019,Wake Forest,45,Virginia,68,,
Thu Jan 24 2019,NC State,77,Louisville,84,,
Thu Jan 24 2019,Miami (FL),53,Syracuse,73,,
Sat Jan 26 2019,Georgia Tech,53,Duke,66,,
Sat Jan 26 2019,Pittsburgh,51,Louisville,66,,
Sat Jan 26 2019,Clemson,67,NC State,69,,
Sat Jan 26 2019,Virginia,82,Notre Dame,55,,
Sat Jan 26 2019,Syracuse,56,Virginia Tech,78,,
Sat Jan 26 2019,Boston College,65,Wake Forest,61,,
Sun Jan 27 2019,Florida State,78,Miami (FL),66,,
Mon Jan 28 2019,Duke,83,Notre Dame,61,,
Tue Jan 29 2019,Pittsburgh,69,Clemson,82,,
Tue Jan 29 2019,North Carolina,77,Georgia Tech,54,,
Tue Jan 29 2019,Virginia,66,NC State,65,OT,
Wed Jan 30 2019,Syracuse,77,Boston College,71,,
Wed Jan 30 2019,Virginia Tech,82,Miami (FL),70,,
Wed Jan 30 2019,Louisville,82,Wake Forest,54,,
Sat Feb 2 2019,Notre Dame,79,Boston College,73,,
Sat Feb 2 2019,Georgia Tech,49,Florida State,59,,
Sat Feb 2 2019,North Carolina,79,Louisville,69,,
Sat Feb 2 2019,Virginia Tech,47,NC State,24,,
Sat Feb 2 2019,Syracuse,65,Pittsburgh,56,,
Sat Feb 2 2019,Miami (FL),46,Virginia,56,,
Sun Feb 3 2019,Wake Forest,37,Clemson,64,,
Mon Feb 4 2019,Louisville,72,Virginia Tech,64,,
Tue Feb 5 2019,Boston College,55,Duke,80,,
Tue Feb 5 2019,NC State,96,North Carolina,113,,
Tue Feb 5 2019,Florida State,80,Syracuse,62,,
Tue Feb 5 2019,Pittsburgh,76,Wake Forest,78,OT,
Wed Feb 6 2019,Clemson,65,Georgia Tech,42,,
Wed Feb 6 2019,Notre Dame,47,Miami (FL),62,,
Sat Feb 9 2019,Virginia Tech,51,Clemson,59,,
Sat Feb 9 2019,Louisville,75,Florida State,80,OT,
Sat Feb 9 2019,Miami (FL),85,North Carolina,88,OT,
Sat Feb 9 2019,NC State,79,Pittsburgh,76,,
Sat Feb 9 2019,Boston College,56,Syracuse,67,,
Sat Feb 9 2019,Duke,81,Virginia,71,,
Sun Feb 10 2019,Georgia Tech,59,Notre Dame,69,,
Mon Feb 11 2019,Virginia,69,North Carolina,61,,
Tue Feb 12 2019,Pittsburgh,57,Boston College,66,,
Tue Feb 12 2019,Duke,71,Louisville,69,,
Wed Feb 13 2019,Wake Forest,66,Florida State,88,,
Wed Feb 13 2019,Clemson,64,Miami (FL),65,,
Wed Feb 13 2019,Syracuse,58,NC State,73,,
Wed Feb 13 2019,Georgia Tech,68,Virginia Tech,76,,
Sat Feb 16 2019,NC State,78,Duke,94,,
Sat Feb 16 2019,Florida State,69,Georgia Tech,47,,
Sat Feb 16 2019,Clemson,55,Louisville,56,,
Sat Feb 16 2019,Virginia Tech,70,Pittsburgh,64,,
Sat Feb 16 2019,Notre Dame,54,Virginia,60,,
Sat Feb 16 2019,North Carolina,95,Wake Forest,57,,
Sun Feb 17 2019,Miami (FL),57,Boston College,64,,
Mon Feb 18 2019,Virginia,64,Virginia Tech,58,,
Tue Feb 19 2019,Florida State,77,Clemson,64,,
Tue Feb 19 2019,Wake Forest,75,Notre Dame,68,,
Wed Feb 20 2019,North Carolina,88,Duke,72,,
Wed Feb 20 2019,Pittsburgh,65,Georgia Tech,73,,
Wed Feb 20 2019,Boston College,80,NC State,89,OT,
Wed Feb 20 2019,Louisville,49,Syracuse,69,,
Sat Feb 23 2019,Boston College,66,Clemson,76,,
Sat Feb 23 2019,Virginia,64,Louisville,52,,
Sat Feb 23 2019,Georgia Tech,65,Miami (FL),80,,
Sat Feb 23 2019,Florida State,59,North Carolina,77,,
Sat Feb 23 2019,Virginia Tech,67,Notre Dame,59,,
Sat Feb 23 2019,Duke,75,Syracuse,65,,
Sun Feb 24 2019,Wake Forest,74,NC State,94,,
Mon Feb 25 2019,Notre Dame,61,Florida State,68,,
Tue Feb 26 2019,Syracuse,85,North Carolina,93,,
Tue Feb 26 2019,Duke,72,Virginia Tech,77,,
Tue Feb 26 2019,Miami (FL),75,Wake Forest,76,,
Wed Feb 27 2019,Louisville,59,Boston College,66,,
Wed Feb 27 2019,Clemson,62,Pittsburgh,48,,
Wed Feb 27 2019,Georgia Tech,51,Virginia,81,,
Sat Mar 2 2019,North Carolina,81,Clemson,79,,
Sat Mar 2 2019,Miami (FL),57,Duke,87,,
Sat Mar 2 2019,NC State,73,Florida State,78,,
Sat Mar 2 2019,Pittsburgh,49,Virginia,73,,
Sat Mar 2 2019,Syracuse,79,Wake Forest,54,,
Sun Mar 3 2019,Boston College,78,Georgia Tech,81,OT,
Sun Mar 3 2019,Notre Dame,61,Louisville,75,,
Mon Mar 4 2019,Virginia,79,Syracuse,53,,
Tue Mar 5 2019,North Carolina,79,Boston College,66,,
Tue Mar 5 2019,Wake Forest,70,Duke,71,,
Tue Mar 5 2019,Virginia Tech,64,Florida State,73,OT,
Tue Mar 5 2019,Pittsburgh,63,Miami (FL),76,,
Wed Mar 6 2019,Georgia Tech,63,NC State,61,,
Wed Mar 6 2019,Clemson,64,Notre Dame,62,,
Fri Mar 8 2019,Miami (FL),70,Virginia Tech,84,,
Sat Mar 9 2019,NC State,73,Boston College,47,,
Sat Mar 9 2019,Syracuse,55,Clemson,67,,
Sat Mar 9 2019,Duke,70,North Carolina,79,,
Sat Mar 9 2019,Notre Dame,53,Pittsburgh,56,,
Sat Mar 9 2019,Louisville,68,Virginia,73,,
Sat Mar 9 2019,Florida State,65,Wake Forest,57,,
Tue Mar 12 2019,Pittsburgh,80,Boston College,70,,First Round
Tue Mar 12 2019,Notre Dame,78,Georgia Tech,71,,First Round
Tue Mar 12 2019,Wake Forest,71,Miami (FL),79,,First Round
Wed Mar 13 2019,Notre Dame,53,Louisville,75,,Second Round
Wed Mar 13 2019,Clemson,58,NC State,59,,Second Round
Wed Mar 13 2019,Pittsburgh,59,Syracuse,73,,Second Round
Wed Mar 13 2019,Miami (FL),56,Virginia Tech,71,,Second Round
Thu Mar 14 2019,Syracuse,72,Duke,84,,Quarterfinal
Thu Mar 14 2019,Virginia Tech,63,Florida State,65,OT,Quarterfinal
Thu Mar 14 2019,Louisville,70,North Carolina,83,,Quarterfinal
Thu Mar 14 2019,NC State,56,Virginia,76,,Quarterfinal
Fri Mar 15 2019,Duke,74,North Carolina,73,,Semifinal
Fri Mar 15 2019,Florida State,69,Virginia,59,,Semifinal
Sat Mar 16 2019,Florida State,63,Duke,73,,Final
