Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sat Jan 7 2012,Florida State,59,Clemson,79,,
Sat Jan 7 2012,Duke,81,Georgia Tech,74,,
Sat Jan 7 2012,Boston College,60,North Carolina,83,,
Sat Jan 7 2012,Miami (FL),51,Virginia,52,,
Sat Jan 7 2012,Virginia Tech,55,Wake Forest,58,,
Sun Jan 8 2012,Maryland,74,NC State,79,,
Tue Jan 10 2012,Miami (FL),56,North Carolina,73,,
Tue Jan 10 2012,Florida State,63,Virginia Tech,59,,
Wed Jan 11 2012,Wake Forest,64,Maryland,70,,
Wed Jan 11 2012,Georgia Tech,82,NC State,71,,
Thu Jan 12 2012,Clemson,57,Boston College,59,,
Thu Jan 12 2012,Virginia,58,Duke,61,,
Sat Jan 14 2012,Virginia Tech,59,Boston College,61,,
Sat Jan 14 2012,North Carolina,57,Florida State,90,,
Sat Jan 14 2012,NC State,76,Wake Forest,40,,
Sun Jan 15 2012,Duke,73,Clemson,66,,
Sun Jan 15 2012,Georgia Tech,50,Maryland,61,,
Tue Jan 17 2012,Maryland,70,Florida State,84,,
Wed Jan 18 2012,Clemson,73,Miami (FL),76,,
Thu Jan 19 2012,Wake Forest,73,Duke,91,,
Thu Jan 19 2012,Virginia,70,Georgia Tech,38,,
Thu Jan 19 2012,Boston College,62,NC State,76,,
Thu Jan 19 2012,North Carolina,82,Virginia Tech,68,,
Sat Jan 21 2012,Wake Forest,71,Boston College,56,,
Sat Jan 21 2012,Georgia Tech,62,Clemson,64,,
Sat Jan 21 2012,Florida State,76,Duke,73,,
Sun Jan 22 2012,NC State,78,Miami (FL),73,,
Sun Jan 22 2012,Virginia Tech,47,Virginia,45,,
Tue Jan 24 2012,Miami (FL),64,Georgia Tech,49,,
Wed Jan 25 2012,Duke,74,Maryland,61,,
Wed Jan 25 2012,Florida State,75,Wake Forest,52,,
Thu Jan 26 2012,NC State,55,North Carolina,74,,
Thu Jan 26 2012,Boston College,49,Virginia,66,,
Sat Jan 28 2012,Wake Forest,60,Clemson,71,,
Sat Jan 28 2012,Virginia Tech,69,Maryland,73,,
Sat Jan 28 2012,Virginia,61,NC State,60,,
Sun Jan 29 2012,Miami (FL),76,Boston College,54,,
Sun Jan 29 2012,Georgia Tech,81,North Carolina,93,,
Tue Jan 31 2012,Clemson,61,Virginia,65,,
Tue Jan 31 2012,North Carolina,68,Wake Forest,53,,
Wed Feb 1 2012,NC State,56,Boston College,51,,
Wed Feb 1 2012,Georgia Tech,54,Florida State,68,,
Wed Feb 1 2012,Maryland,86,Miami (FL),90,2OT,
Thu Feb 2 2012,Duke,75,Virginia Tech,60,,
Sat Feb 4 2012,Virginia,55,Florida State,58,,
Sat Feb 4 2012,Boston College,47,Georgia Tech,51,,
Sat Feb 4 2012,North Carolina,83,Maryland,74,,
Sat Feb 4 2012,Wake Forest,76,NC State,87,,
Sat Feb 4 2012,Clemson,65,Virginia Tech,67,,
Sun Feb 5 2012,Miami (FL),78,Duke,74,OT,
Tue Feb 7 2012,Maryland,64,Clemson,62,,
Wed Feb 8 2012,Florida State,60,Boston College,64,,
Wed Feb 8 2012,Duke,85,North Carolina,84,,
Wed Feb 8 2012,Wake Forest,44,Virginia,68,,
