Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Thu Feb 9 2012,NC State,61,Georgia Tech,52,,
Thu Feb 9 2012,Virginia Tech,49,Miami (FL),65,,
Sat Feb 11 2012,Maryland,55,Duke,73,,
Sat Feb 11 2012,Miami (FL),59,Florida State,64,,
Sat Feb 11 2012,Virginia,52,North Carolina,70,,
Sat Feb 11 2012,Clemson,78,Wake Forest,58,,
Sun Feb 12 2012,Boston College,65,Virginia Tech,66,,
Tue Feb 14 2012,Virginia,48,Clemson,60,,
Wed Feb 15 2012,North Carolina,73,Miami (FL),64,,
Wed Feb 15 2012,Georgia Tech,50,Wake Forest,59,,
Thu Feb 16 2012,NC State,73,Duke,78,,
Thu Feb 16 2012,Virginia Tech,47,Florida State,48,,
Thu Feb 16 2012,Boston College,65,Maryland,81,,
Sat Feb 18 2012,Wake Forest,56,Miami (FL),74,,
Sat Feb 18 2012,Florida State,76,NC State,62,,
Sat Feb 18 2012,Clemson,52,North Carolina,74,,
Sat Feb 18 2012,Maryland,44,Virginia,71,,
Sat Feb 18 2012,Georgia Tech,73,Virginia Tech,74,OT,
Sun Feb 19 2012,Duke,75,Boston College,50,,
Tue Feb 21 2012,Clemson,56,Georgia Tech,37,,
Tue Feb 21 2012,Miami (FL),70,Maryland,75,,
Tue Feb 21 2012,North Carolina,86,NC State,74,,
Tue Feb 21 2012,Virginia,61,Virginia Tech,59,,
Thu Feb 23 2012,Duke,74,Florida State,66,,
Sat Feb 25 2012,NC State,69,Clemson,72,OT,
Sat Feb 25 2012,Virginia Tech,65,Duke,70,OT,
Sat Feb 25 2012,Maryland,61,Georgia Tech,63,,
Sat Feb 25 2012,North Carolina,54,Virginia,51,,
Sat Feb 25 2012,Boston College,56,Wake Forest,85,,
Sun Feb 26 2012,Florida State,62,Miami (FL),78,,
Tue Feb 28 2012,Duke,79,Wake Forest,71,,
Wed Feb 29 2012,Georgia Tech,52,Boston College,56,,
Wed Feb 29 2012,Miami (FL),73,NC State,77,,
Wed Feb 29 2012,Maryland,64,North Carolina,88,,
Thu Mar 1 2012,Virginia Tech,56,Clemson,58,,
Thu Mar 1 2012,Florida State,63,Virginia,60,,
Sat Mar 3 2012,North Carolina,88,Duke,70,,
Sat Mar 3 2012,Wake Forest,62,Georgia Tech,69,,
Sat Mar 3 2012,Boston College,56,Miami (FL),77,,
Sun Mar 4 2012,Clemson,72,Florida State,80,,
Sun Mar 4 2012,Virginia,75,Maryland,72,OT,
Sun Mar 4 2012,NC State,70,Virginia Tech,58,,
Thu Mar 8 2012,NC State,78,Boston College,57,,ACC First Round
Thu Mar 8 2012,Virginia Tech,68,Clemson,63,,ACC First Round
Thu Mar 8 2012,Miami (FL),54,Georgia Tech,36,,ACC First Round
Thu Mar 8 2012,Wake Forest,60,Maryland,82,,ACC First Round
Fri Mar 9 2012,Virginia Tech,56,Duke,60,,ACC Quarterfinal
Fri Mar 9 2012,Miami (FL),71,Florida State,82,,ACC Quarterfinal
Fri Mar 9 2012,North Carolina,85,Maryland,69,,ACC Quarterfinal
Fri Mar 9 2012,Virginia,64,NC State,67,,ACC Quarterfinal
Sat Mar 10 2012,Florida State,62,Duke,59,,ACC Semifinal
Sat Mar 10 2012,NC State,67,North Carolina,69,,ACC Semifinal
Sun Mar 11 2012,North Carolina,82,Florida State,85,,ACC Final
