 
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Wed Dec 28 2016,Wake Forest,72,Florida State,88,,
Wed Dec 28 2016,Virginia,61,Louisville,53,,
Sat Dec 31 2016,North Carolina,63,Georgia Tech,75,,
Sat Dec 31 2016,NC State,63,Miami (FL),81,,
Sat Dec 31 2016,Notre Dame,78,Pittsburgh,77,OT,
Sat Dec 31 2016,Florida State,60,Virginia,58,,
Sat Dec 31 2016,Duke,75,Virginia Tech,89,,
Sat Dec 31 2016,Clemson,73,Wake Forest,68,,
Sun Jan 1 2017,Syracuse,81,Boston College,96,,
Tue Jan 3 2017,North Carolina,89,Clemson,86,OT,
Tue Jan 3 2017,Boston College,66,Wake Forest,79,,
Wed Jan 4 2017,Georgia Tech,57,Duke,110,,
Wed Jan 4 2017,Virginia Tech,78,NC State,104,,
Wed Jan 4 2017,Louisville,70,Notre Dame,77,,
Wed Jan 4 2017,Virginia,76,Pittsburgh,88,OT,
Wed Jan 4 2017,Miami (FL),55,Syracuse,70,,
Sat Jan 7 2017,Boston College,82,Duke,93,,
Sat Jan 7 2017,Virginia Tech,78,Florida State,93,,
Sat Jan 7 2017,Louisville,65,Georgia Tech,50,,
Sat Jan 7 2017,Clemson,70,Notre Dame,75,,
Sat Jan 7 2017,Pittsburgh,66,Syracuse,77,,
Sun Jan 8 2017,NC State,56,North Carolina,107,,
Sun Jan 8 2017,Wake Forest,62,Virginia,79,,
Tue Jan 10 2017,Duke,72,Florida State,88,,
Tue Jan 10 2017,Syracuse,73,Virginia Tech,83,,
Wed Jan 11 2017,NC State,66,Boston College,74,,
Wed Jan 11 2017,Pittsburgh,80,Louisville,85,,
Wed Jan 11 2017,North Carolina,93,Wake Forest,87,,
Thu Jan 12 2017,Clemson,63,Georgia Tech,75,,
Thu Jan 12 2017,Notre Dame,67,Miami (FL),62,,
Sat Jan 14 2017,Virginia,77,Clemson,73,,
Sat Jan 14 2017,Duke,69,Louisville,78,,
Sat Jan 14 2017,Florida State,83,North Carolina,96,,
Sat Jan 14 2017,Miami (FL),72,Pittsburgh,46,,
Sat Jan 14 2017,Boston College,53,Syracuse,76,,
Sat Jan 14 2017,Notre Dame,76,Virginia Tech,71,,
Sun Jan 15 2017,Georgia Tech,86,NC State,76,,
Mon Jan 16 2017,Syracuse,68,North Carolina,85,,
Tue Jan 17 2017,Pittsburgh,74,NC State,79,,
Wed Jan 18 2017,Virginia,71,Boston College,54,,
Wed Jan 18 2017,Notre Dame,80,Florida State,83,,
Wed Jan 18 2017,Georgia Tech,61,Virginia Tech,62,,
Wed Jan 18 2017,Miami (FL),79,Wake Forest,96,,
Thu Jan 19 2017,Clemson,60,Louisville,92,,
Sat Jan 21 2017,North Carolina,90,Boston College,82,,
Sat Jan 21 2017,Miami (FL),58,Duke,70,,
Sat Jan 21 2017,Louisville,68,Florida State,73,,
Sat Jan 21 2017,Wake Forest,93,NC State,88,,
Sat Jan 21 2017,Syracuse,66,Notre Dame,84,,
Sat Jan 21 2017,Georgia Tech,49,Virginia,62,,
Sun Jan 22 2017,Virginia Tech,82,Clemson,81,,
Mon Jan 23 2017,NC State,84,Duke,82,,
Tue Jan 24 2017,Virginia,71,Notre Dame,54,,
Tue Jan 24 2017,Louisville,106,Pittsburgh,51,,
Tue Jan 24 2017,Wake Forest,76,Syracuse,81,,
