Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Wed Dec 30 2015,Clemson,69,North Carolina,80,,
Wed Dec 30 2015,Syracuse,61,Pittsburgh,72,,
Sat Jan 2 2016,Duke,81,Boston College,64,,
Sat Jan 2 2016,Florida State,75,Clemson,84,,
Sat Jan 2 2016,Syracuse,51,Miami (FL),64,,
Sat Jan 2 2016,Georgia Tech,78,North Carolina,86,,
Sat Jan 2 2016,Notre Dame,66,Virginia,77,,
Sat Jan 2 2016,NC State,68,Virginia Tech,73,OT,
Sun Jan 3 2016,Wake Forest,57,Louisville,65,,
Mon Jan 4 2016,North Carolina,106,Florida State,90,,
Mon Jan 4 2016,Virginia,68,Virginia Tech,70,,
Tue Jan 5 2016,Clemson,74,Syracuse,73,OT,
Wed Jan 6 2016,Georgia Tech,84,Pittsburgh,89,,
Wed Jan 6 2016,Duke,91,Wake Forest,75,,
Thu Jan 7 2016,Notre Dame,82,Boston College,54,,
Thu Jan 7 2016,Louisville,77,NC State,72,,
Sat Jan 9 2016,Virginia Tech,58,Duke,82,,
Sat Jan 9 2016,Virginia,64,Georgia Tech,68,,
Sat Jan 9 2016,Florida State,59,Miami (FL),72,,
Sat Jan 9 2016,Pittsburgh,86,Notre Dame,82,,
Sat Jan 9 2016,North Carolina,84,Syracuse,73,,
Sun Jan 10 2016,Louisville,62,Clemson,66,,
Sun Jan 10 2016,NC State,74,Wake Forest,77,,
Tue Jan 12 2016,Miami (FL),58,Virginia,66,,
Wed Jan 13 2016,Duke,63,Clemson,68,,
Wed Jan 13 2016,Florida State,85,NC State,78,,
Wed Jan 13 2016,Georgia Tech,64,Notre Dame,72,,
Wed Jan 13 2016,Boston College,40,Syracuse,62,,
Wed Jan 13 2016,Wake Forest,91,Virginia Tech,93,,
Thu Jan 14 2016,Pittsburgh,41,Louisville,59,,
Sat Jan 16 2016,Miami (FL),65,Clemson,76,,
Sat Jan 16 2016,Notre Dame,95,Duke,91,,
Sat Jan 16 2016,Virginia Tech,78,Georgia Tech,77,,
Sat Jan 16 2016,NC State,55,North Carolina,67,,
Sat Jan 16 2016,Boston College,61,Pittsburgh,84,,
Sat Jan 16 2016,Syracuse,83,Wake Forest,55,,
Sun Jan 17 2016,Virginia,62,Florida State,69,,
Mon Jan 18 2016,Syracuse,64,Duke,62,,
Tue Jan 19 2016,NC State,78,Pittsburgh,61,,
Tue Jan 19 2016,Clemson,62,Virginia,69,,
Wed Jan 20 2016,Miami (FL),67,Boston College,53,,
Wed Jan 20 2016,Florida State,65,Louisville,84,,
Wed Jan 20 2016,Wake Forest,68,North Carolina,83,,
Wed Jan 20 2016,Virginia Tech,81,Notre Dame,83,,
Sat Jan 23 2016,Pittsburgh,74,Florida State,72,,
Sat Jan 23 2016,Louisville,75,Georgia Tech,71,,
Sat Jan 23 2016,Wake Forest,63,Miami (FL),77,,
Sat Jan 23 2016,Duke,88,NC State,78,,
Sat Jan 23 2016,Boston College,49,Notre Dame,76,,
Sun Jan 24 2016,Syracuse,65,Virginia,73,,
Sun Jan 24 2016,North Carolina,75,Virginia Tech,70,,
Mon Jan 25 2016,Duke,69,Miami (FL),80,,
Tue Jan 26 2016,Florida State,72,Boston College,62,,
Tue Jan 26 2016,Virginia,72,Wake Forest,71,,
Wed Jan 27 2016,Pittsburgh,60,Clemson,73,,
Wed Jan 27 2016,Georgia Tech,90,NC State,83,,
Wed Jan 27 2016,Louisville,91,Virginia Tech,83,,
Thu Jan 28 2016,Notre Dame,66,Syracuse,81,,
Sat Jan 30 2016,Clemson,65,Florida State,76,,
Sat Jan 30 2016,Virginia,63,Louisville,47,,
Sat Jan 30 2016,Miami (FL),69,NC State,85,,
Sat Jan 30 2016,Boston College,62,North Carolina,89,,
Sat Jan 30 2016,Georgia Tech,57,Syracuse,60,,
Sun Jan 31 2016,Wake Forest,62,Notre Dame,85,,
Sun Jan 31 2016,Virginia Tech,71,Pittsburgh,90,,
Mon Feb 1 2016,NC State,73,Florida State,77,,
Mon Feb 1 2016,North Carolina,65,Louisville,71,,
Tue Feb 2 2016,Duke,80,Georgia Tech,71,,
Tue Feb 2 2016,Virginia Tech,60,Syracuse,68,OT,
Tue Feb 2 2016,Clemson,76,Wake Forest,62,,
Wed Feb 3 2016,Notre Dame,70,Miami (FL),79,,
Wed Feb 3 2016,Boston College,47,Virginia,61,,
Sat Feb 6 2016,NC State,80,Duke,88,,
Sat Feb 6 2016,Boston College,47,Louisville,79,,
Sat Feb 6 2016,North Carolina,76,Notre Dame,80,,
Sat Feb 6 2016,Virginia,64,Pittsburgh,50,,
Sat Feb 6 2016,Clemson,57,Virginia Tech,60,,
Sat Feb 6 2016,Florida State,91,Wake Forest,71,,
Sun Feb 7 2016,Miami (FL),75,Georgia Tech,68,,
Mon Feb 8 2016,Notre Dame,89,Clemson,83,,
Mon Feb 8 2016,Louisville,65,Duke,72,,
Tue Feb 9 2016,North Carolina,68,Boston College,65,,
Tue Feb 9 2016,Pittsburgh,63,Miami (FL),65,,
Tue Feb 9 2016,Virginia Tech,49,Virginia,67,,
Wed Feb 10 2016,Wake Forest,66,Georgia Tech,71,,
Thu Feb 11 2016,Florida State,72,Syracuse,85,,
Sat Feb 13 2016,Georgia Tech,52,Clemson,66,,
Sat Feb 13 2016,Virginia,62,Duke,63,,
Sat Feb 13 2016,Wake Forest,88,NC State,99,,
Sat Feb 13 2016,Louisville,66,Notre Dame,71,,
Sun Feb 14 2016,Syracuse,75,Boston College,61,,
Sun Feb 14 2016,Miami (FL),67,Florida State,65,,
Sun Feb 14 2016,Pittsburgh,64,North Carolina,85,,
Mon Feb 15 2016,NC State,53,Virginia,73,,
Tue Feb 16 2016,Wake Forest,96,Pittsburgh,101,2OT,
Wed Feb 17 2016,Boston College,54,Clemson,65,,
Wed Feb 17 2016,Georgia Tech,86,Florida State,80,,
Wed Feb 17 2016,Syracuse,58,Louisville,72,,
Wed Feb 17 2016,Virginia Tech,49,Miami (FL),65,,
Wed Feb 17 2016,Duke,74,North Carolina,73,,
Sat Feb 20 2016,Notre Dame,62,Georgia Tech,63,,
Sat Feb 20 2016,Duke,64,Louisville,71,,
Sat Feb 20 2016,Clemson,74,NC State,77,,
Sat Feb 20 2016,Miami (FL),71,North Carolina,96,,
Sat Feb 20 2016,Pittsburgh,66,Syracuse,52,,
Sat Feb 20 2016,Florida State,73,Virginia Tech,83,,
Sun Feb 21 2016,Boston College,48,Wake Forest,74,,
Mon Feb 22 2016,Virginia,61,Miami (FL),64,,
Tue Feb 23 2016,Virginia Tech,71,Boston College,56,,
Tue Feb 23 2016,Clemson,73,Georgia Tech,75,,
Wed Feb 24 2016,North Carolina,80,NC State,68,,
Wed Feb 24 2016,Louisville,67,Pittsburgh,60,,
Wed Feb 24 2016,Notre Dame,69,Wake Forest,58,,
Thu Feb 25 2016,Florida State,65,Duke,80,,
Sat Feb 27 2016,Georgia Tech,76,Boston College,71,,
Sat Feb 27 2016,Notre Dame,56,Florida State,77,,
Sat Feb 27 2016,Louisville,65,Miami (FL),73,,
Sat Feb 27 2016,NC State,66,Syracuse,75,,
Sat Feb 27 2016,North Carolina,74,Virginia,79,,
Sun Feb 28 2016,Duke,62,Pittsburgh,76,,
Sun Feb 28 2016,Virginia Tech,81,Wake Forest,74,,
Mon Feb 29 2016,Syracuse,70,North Carolina,75,,
Tue Mar 1 2016,Virginia,64,Clemson,57,,
Tue Mar 1 2016,Wake Forest,71,Duke,79,,
Tue Mar 1 2016,Georgia Tech,53,Louisville,56,,
Wed Mar 2 2016,Boston College,72,NC State,73,,
Wed Mar 2 2016,Miami (FL),68,Notre Dame,50,,
Wed Mar 2 2016,Pittsburgh,61,Virginia Tech,65,,
Sat Mar 5 2016,Clemson,66,Boston College,50,,
Sat Mar 5 2016,North Carolina,76,Duke,72,,
Sat Mar 5 2016,Syracuse,73,Florida State,78,,
Sat Mar 5 2016,Pittsburgh,59,Georgia Tech,63,,
Sat Mar 5 2016,NC State,75,Notre Dame,89,,
Sat Mar 5 2016,Louisville,46,Virginia,68,,
Sat Mar 5 2016,Miami (FL),62,Virginia Tech,77,,
Tue Mar 8 2016,Boston College,66,Florida State,88,,First Round
Tue Mar 8 2016,Wake Forest,72,NC State,75,,First Round
Wed Mar 9 2016,Georgia Tech,88,Clemson,85,OT,Second Round
Wed Mar 9 2016,NC State,89,Duke,92,,Second Round
Wed Mar 9 2016,Syracuse,71,Pittsburgh,72,,Second Round
Wed Mar 9 2016,Florida State,85,Virginia Tech,96,,Second Round
Thu Mar 10 2016,Virginia Tech,82,Miami (FL),88,,Quarterfinal
Thu Mar 10 2016,Pittsburgh,71,North Carolina,88,,Quarterfinal
Thu Mar 10 2016,Duke,79,Notre Dame,84,OT,Quarterfinal
Thu Mar 10 2016,Georgia Tech,52,Virginia,72,,Quarterfinal
Fri Mar 11 2016,Notre Dame,47,North Carolina,78,,Semifinal
Fri Mar 11 2016,Miami (FL),68,Virginia,73,,Semifinal
Sat Mar 12 2016,Virginia,57,North Carolina,61,,Final
