Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sat Dec 12 2020,Syracuse,101,Boston College,63,,
Tue Dec 15 2020,Georgia Tech,61,Florida State,74,,
Tue Dec 15 2020,Clemson,60,Virginia Tech,66,,
Wed Dec 16 2020,Pittsburgh,70,Miami (FL),55,,
Wed Dec 16 2020,Duke,75,Notre Dame,65,,
Tue Dec 22 2020,North Carolina,76,NC State,79,,
Tue Dec 22 2020,Louisville,64,Pittsburgh,54,,
Tue Dec 29 2020,Florida State,67,Clemson,77,,
Tue Dec 29 2020,Miami (FL),78,Virginia Tech,80,,
Wed Dec 30 2020,North Carolina,67,Georgia Tech,72,,
Wed Dec 30 2020,Boston College,76,NC State,79,,
Wed Dec 30 2020,Virginia,66,Notre Dame,57,,
Sat Jan 2 2021,Louisville,76,Boston College,64,,
Sat Jan 2 2021,Clemson,66,Miami (FL),65,,
Sat Jan 2 2021,Notre Dame,65,North Carolina,66,,
Sun Jan 3 2021,Wake Forest,54,Georgia Tech,70,,
Tue Jan 5 2021,NC State,70,Clemson,74,OT,
Tue Jan 5 2021,North Carolina,67,Miami (FL),65,,
Wed Jan 6 2021,Boston College,82,Duke,83,,
Wed Jan 6 2021,Virginia Tech,71,Louisville,73,,
Wed Jan 6 2021,Pittsburgh,63,Syracuse,60,,
Wed Jan 6 2021,Wake Forest,61,Virginia,70,,
Sat Jan 9 2021,Virginia,61,Boston College,49,,
Sat Jan 9 2021,Wake Forest,68,Duke,79,,
Sat Jan 9 2021,Miami (FL),64,NC State,59,,
Sun Jan 10 2021,Notre Dame,63,Virginia Tech,77,,
Tue Jan 12 2021,Miami (FL),62,Boston College,84,,
Tue Jan 12 2021,Syracuse,75,North Carolina,81,,
Tue Jan 12 2021,Duke,67,Virginia Tech,74,,
Wed Jan 13 2021,NC State,73,Florida State,105,,
Wed Jan 13 2021,Notre Dame,68,Virginia,80,,
Wed Jan 13 2021,Louisville,77,Wake Forest,65,,
Sat Jan 16 2021,Virginia,85,Clemson,50,,
Sat Jan 16 2021,North Carolina,75,Florida State,82,,
Sat Jan 16 2021,Louisville,72,Miami (FL),78,,
