Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sat Feb 17 2024,Virginia Tech,81,North Carolina,96,,
Sat Feb 17 2024,Louisville,59,Pittsburgh,86,,
Sat Feb 17 2024,Wake Forest,47,Virginia,49,,
Mon Feb 19 2024,Virginia,41,Virginia Tech,75,,
Tue Feb 20 2024,Boston College,76,Florida State,84,,
Tue Feb 20 2024,Syracuse,87,NC State,83,,
Tue Feb 20 2024,Pittsburgh,58,Wake Forest,91,,
Wed Feb 21 2024,Clemson,81,Georgia Tech,57,,
Wed Feb 21 2024,Notre Dame,72,Louisville,50,,
Wed Feb 21 2024,Duke,84,Miami (FL),55,,
Sat Feb 24 2024,Florida State,63,Clemson,74,,
Sat Feb 24 2024,Georgia Tech,80,Miami (FL),76,,
Sat Feb 24 2024,Boston College,70,NC State,81,,
Sat Feb 24 2024,Virginia Tech,64,Pittsburgh,79,,
Sat Feb 24 2024,Notre Dame,85,Syracuse,88,,
Sat Feb 24 2024,North Carolina,54,Virginia,44,,
Sat Feb 24 2024,Duke,79,Wake Forest,83,,
Mon Feb 26 2024,Miami (FL),71,North Carolina,75,,
Tue Feb 27 2024,Pittsburgh,62,Clemson,69,,
Tue Feb 27 2024,NC State,83,Florida State,90,,
Tue Feb 27 2024,Wake Forest,65,Notre Dame,70,,
Tue Feb 27 2024,Virginia Tech,71,Syracuse,84,,
Wed Feb 28 2024,Virginia,72,Boston College,68,,
Wed Feb 28 2024,Louisville,59,Duke,84,,
Sat Mar 2 2024,Pittsburgh,90,Boston College,65,,
Sat Mar 2 2024,Virginia,48,Duke,73,,
Sat Mar 2 2024,Florida State,76,Georgia Tech,85,,
Sat Mar 2 2024,Syracuse,82,Louisville,76,,
Sat Mar 2 2024,NC State,70,North Carolina,79,,
Sat Mar 2 2024,Clemson,62,Notre Dame,69,,
Sat Mar 2 2024,Wake Forest,76,Virginia Tech,87,,
Mon Mar 4 2024,Duke,79,NC State,64,,
Tue Mar 5 2024,Syracuse,75,Clemson,90,,
Tue Mar 5 2024,Virginia Tech,80,Louisville,64,,
Tue Mar 5 2024,Notre Dame,51,North Carolina,84,,
Tue Mar 5 2024,Florida State,73,Pittsburgh,88,,
Tue Mar 5 2024,Georgia Tech,70,Wake Forest,69,,
Wed Mar 6 2024,Boston College,67,Miami (FL),57,,
Sat Mar 9 2024,North Carolina,84,Duke,79,,
Sat Mar 9 2024,Miami (FL),75,Florida State,83,,
Sat Mar 9 2024,Boston College,67,Louisville,61,,
Sat Mar 9 2024,NC State,73,Pittsburgh,81,,
Sat Mar 9 2024,Georgia Tech,57,Virginia,72,,
Sat Mar 9 2024,Notre Dame,76,Virginia Tech,82,,
Sat Mar 9 2024,Clemson,76,Wake Forest,81,,
Tue Mar 12 2024,Miami (FL),65,Boston College,81,,First Round
Tue Mar 12 2024,Louisville,85,NC State,94,,First Round
Tue Mar 12 2024,Georgia Tech,80,Notre Dame,84,,First Round
Wed Mar 13 2024,Boston College,76,Clemson,55,,Second Round
Wed Mar 13 2024,NC State,83,Syracuse,65,,Second Round
Wed Mar 13 2024,Florida State,86,Virginia Tech,76,,Second Round
Wed Mar 13 2024,Notre Dame,59,Wake Forest,72,,Second Round
Thu Mar 14 2024,NC State,74,Duke,69,,Quarterfinals
Thu Mar 14 2024,Florida State,67,North Carolina,92,,Quarterfinals
Thu Mar 14 2024,Wake Forest,69,Pittsburgh,81,,Quarterfinals
Thu Mar 14 2024,Boston College,60,Virginia,66,OT,Quarterfinals
Fri Mar 15 2024,Pittsburgh,65,North Carolina,72,,Semifinals
Fri Mar 15 2024,NC State,73,Virginia,65,OT,Semifinals
Sat Mar 16 2024,NC State,84,North Carolina,76,,Championship
