Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sun Dec 5 2010,Virginia,57,Virginia Tech,54,,
Sun Dec 12 2010,Clemson,69,Florida State,75,,
Sun Dec 12 2010,Boston College,79,Maryland,75,,
Sun Jan 2 2011,Miami (FL),63,Duke,74,,
Sat Jan 8 2011,Georgia Tech,75,Boston College,86,,
Sat Jan 8 2011,Miami (FL),72,Clemson,79,,
Sat Jan 8 2011,Wake Forest,69,NC State,90,,
Sat Jan 8 2011,North Carolina,62,Virginia,56,,
Sat Jan 8 2011,Florida State,59,Virginia Tech,71,,
Sun Jan 9 2011,Maryland,64,Duke,71,,
Tue Jan 11 2011,NC State,66,Boston College,75,,
Wed Jan 12 2011,Georgia Tech,62,Clemson,87,,
Wed Jan 12 2011,Duke,61,Florida State,66,,
Wed Jan 12 2011,Maryland,74,Wake Forest,55,,
Thu Jan 13 2011,Virginia Tech,61,North Carolina,64,,
Sat Jan 15 2011,Virginia,60,Duke,76,,
Sat Jan 15 2011,NC State,71,Florida State,84,,
Sat Jan 15 2011,Boston College,71,Miami (FL),72,,
Sat Jan 15 2011,Wake Forest,65,Virginia Tech,94,,
Sun Jan 16 2011,North Carolina,58,Georgia Tech,78,,
Tue Jan 18 2011,Clemson,65,North Carolina,75,,
Wed Jan 19 2011,Virginia,67,Boston College,70,,
Wed Jan 19 2011,Wake Forest,39,Georgia Tech,74,,
Wed Jan 19 2011,Florida State,55,Miami (FL),53,,
Wed Jan 19 2011,Duke,92,NC State,78,,
Thu Jan 20 2011,Virginia Tech,74,Maryland,57,,
Sat Jan 22 2011,Boston College,51,Florida State,67,,
Sat Jan 22 2011,Clemson,77,Maryland,79,,
Sat Jan 22 2011,Georgia Tech,64,Virginia,72,,
Sat Jan 22 2011,Duke,83,Wake Forest,59,,
Sun Jan 23 2011,Miami (FL),70,NC State,72,,
Tue Jan 25 2011,NC State,50,Clemson,60,,
Tue Jan 25 2011,Virginia Tech,57,Georgia Tech,72,,
Wed Jan 26 2011,North Carolina,74,Miami (FL),71,,
Thu Jan 27 2011,Boston College,68,Duke,84,,
Thu Jan 27 2011,Maryland,66,Virginia,42,,
Sat Jan 29 2011,Florida State,44,Clemson,62,,
Sat Jan 29 2011,NC State,64,North Carolina,84,,
Sat Jan 29 2011,Virginia,71,Wake Forest,76,,
Sun Jan 30 2011,Maryland,74,Georgia Tech,63,,
Sun Jan 30 2011,Miami (FL),68,Virginia Tech,72,,
Tue Feb 1 2011,North Carolina,106,Boston College,74,,
Tue Feb 1 2011,Wake Forest,61,Florida State,85,,
Wed Feb 2 2011,Duke,80,Maryland,62,,
Wed Feb 2 2011,Virginia Tech,77,NC State,69,,
Wed Feb 2 2011,Clemson,47,Virginia,49,,
Thu Feb 3 2011,Georgia Tech,57,Miami (FL),59,,
Sat Feb 5 2011,Virginia Tech,56,Boston College,58,,
Sat Feb 5 2011,NC State,52,Duke,76,,
Sat Feb 5 2011,Clemson,65,Georgia Tech,56,,
Sat Feb 5 2011,Wake Forest,70,Maryland,91,,
Sat Feb 5 2011,Virginia,68,Miami (FL),70,OT,
Sun Feb 6 2011,Florida State,69,North Carolina,89,,
Tue Feb 8 2011,Boston College,69,Clemson,77,,
Wed Feb 9 2011,North Carolina,73,Duke,79,,
Wed Feb 9 2011,Miami (FL),74,Wake Forest,73,,
Thu Feb 10 2011,Florida State,72,Georgia Tech,63,,
Sat Feb 12 2011,Maryland,72,Boston College,76,,
Sat Feb 12 2011,North Carolina,64,Clemson,62,,
Sat Feb 12 2011,Virginia,56,Florida State,63,,
Sun Feb 13 2011,Duke,81,Miami (FL),71,,
Sun Feb 13 2011,Georgia Tech,77,Virginia Tech,102,,
Sun Feb 13 2011,NC State,80,Wake Forest,55,,
Tue Feb 15 2011,Wake Forest,64,North Carolina,78,,
Tue Feb 15 2011,Maryland,83,Virginia Tech,91,,
Wed Feb 16 2011,Duke,56,Virginia,41,,
Thu Feb 17 2011,Clemson,61,NC State,69,,
Sat Feb 19 2011,Boston College,46,North Carolina,48,,
Sat Feb 19 2011,Virginia Tech,54,Virginia,61,,
Sat Feb 19 2011,Florida State,84,Wake Forest,66,,
Sun Feb 20 2011,Georgia Tech,57,Duke,79,,
Sun Feb 20 2011,NC State,80,Maryland,87,,
Sun Feb 20 2011,Clemson,63,Miami (FL),59,,
Tue Feb 22 2011,Virginia Tech,76,Wake Forest,62,,
Wed Feb 23 2011,Miami (FL),73,Boston College,64,,
Wed Feb 23 2011,Virginia,62,Georgia Tech,56,,
Wed Feb 23 2011,Florida State,62,Maryland,78,,
Wed Feb 23 2011,North Carolina,75,NC State,63,,
Sat Feb 26 2011,Wake Forest,49,Clemson,63,,
Sat Feb 26 2011,Miami (FL),59,Florida State,65,,
Sat Feb 26 2011,Georgia Tech,74,NC State,79,,
Sat Feb 26 2011,Boston College,63,Virginia,44,,
Sat Feb 26 2011,Duke,60,Virginia Tech,64,,
Sun Feb 27 2011,Maryland,76,North Carolina,87,,
Tue Mar 1 2011,NC State,58,Virginia,69,,
Tue Mar 1 2011,Boston College,76,Virginia Tech,61,,
Wed Mar 2 2011,Clemson,59,Duke,70,,
Wed Mar 2 2011,North Carolina,72,Florida State,70,,
Wed Mar 2 2011,Maryland,66,Miami (FL),80,,
Thu Mar 3 2011,Georgia Tech,80,Wake Forest,54,,
Sat Mar 5 2011,Virginia Tech,60,Clemson,69,,
Sat Mar 5 2011,Virginia,74,Maryland,60,,
Sat Mar 5 2011,Duke,67,North Carolina,81,,
Sun Mar 6 2011,Wake Forest,68,Boston College,84,,
Sun Mar 6 2011,Miami (FL),57,Georgia Tech,66,,
Sun Mar 6 2011,Florida State,72,NC State,62,,
Thu Mar 10 2011,Wake Forest,67,Boston College,81,,ACC First Round
Thu Mar 10 2011,NC State,67,Maryland,75,,ACC First Round
Thu Mar 10 2011,Miami (FL),69,Virginia,62,OT,ACC First Round
Thu Mar 10 2011,Georgia Tech,43,Virginia Tech,59,,ACC First Round
Fri Mar 11 2011,Boston College,47,Clemson,70,,ACC Quarterfinal
Fri Mar 11 2011,Maryland,71,Duke,87,,ACC Quarterfinal
Fri Mar 11 2011,Virginia Tech,52,Florida State,51,,ACC Quarterfinal
Fri Mar 11 2011,Miami (FL),59,North Carolina,61,,ACC Quarterfinal
Sat Mar 12 2011,Virginia Tech,63,Duke,77,,ACC Semifinal
Sat Mar 12 2011,Clemson,87,North Carolina,92,OT,ACC Semifinal
Sun Mar 13 2011,Duke,75,North Carolina,58,,ACC Final
