date,home_team,away_team,home_score,away_score
2016-03-09,Duke,NC State,92,89
2016-03-09,Pittsburgh,Syracuse,72,71
2016-03-09,Virginia Tech,Florida State,96,85
2016-03-10,Miami (FL),Virginia Tech,88,82
2016-03-10,North Carolina,Pittsburgh,88,71
2016-03-10,Notre Dame,Duke,84,79
2016-03-10,Virginia,Georgia Tech,72,52
2016-03-11,Virginia,Miami (FL),73,68
2016-03-11,North Carolina,Notre Dame,78,47
2016-03-12,North Carolina,Virginia,61,57
2016-12-28,Florida State,Wake Forest,88,72
2016-12-28,Louisville,Virginia,53,61
2016-12-31,Georgia Tech,North Carolina,75,63
2016-12-31,Miami (FL),NC State,81,63
2016-12-31,Pittsburgh,Notre Dame,77,78
2016-12-31,Virginia,Florida State,58,60
2016-12-31,Virginia Tech,Duke,89,75
2016-12-31,Wake Forest,Clemson,68,73
2017-01-01,Boston College,Syracuse,96,81
2017-01-03,Wake Forest,Boston College,79,66
2017-01-03,Clemson,North Carolina,86,89
2017-01-04,Duke,Georgia Tech,110,57
2017-01-04,NC State,Virginia Tech,104,78
2017-01-04,Notre Dame,Louisville,77,70
2017-01-04,Pittsburgh,Virginia,88,76
2017-01-04,Syracuse,Miami (FL),70,55
2017-01-07,Syracuse,Pittsburgh,77,66
2017-01-07,Duke,Boston College,93,82
2017-01-07,Florida State,Virginia Tech,93,78
2017-01-07,Georgia Tech,Louisville,50,65
2017-01-07,Notre Dame,Clemson,75,70
2017-01-08,Virginia,Wake Forest,79,62
2017-01-08,North Carolina,NC State,107,56
2017-01-10,Florida State,Duke,88,72
2017-01-10,Virginia Tech,Syracuse,83,73
2017-01-11,Boston College,NC State,74,66
2017-01-11,Louisville,Pittsburgh,85,80
2017-01-11,Wake Forest,North Carolina,87,93
2017-01-12,Georgia Tech,Clemson,75,63
2017-01-12,Miami (FL),Notre Dame,62,67
2017-01-14,Virginia Tech,Notre Dame,71,76
2017-01-14,Syracuse,Boston College,76,53
2017-01-14,Pittsburgh,Miami (FL),46,72
2017-01-14,Louisville,Duke,78,69
2017-01-14,Clemson,Virginia,73,77
2017-01-14,North Carolina,Florida State,96,83
2017-01-15,NC State,Georgia Tech,76,86
2017-01-16,North Carolina,Syracuse,85,68
2017-01-17,NC State,Pittsburgh,79,74
2017-01-18,Wake Forest,Miami (FL),96,79
2017-01-18,Boston College,Virginia,54,71
2017-01-18,Florida State,Notre Dame,83,80
2017-01-18,Virginia Tech,Georgia Tech,62,61
2017-01-19,Louisville,Clemson,92,60
2017-01-21,Virginia,Georgia Tech,62,49
2017-01-21,Notre Dame,Syracuse,84,66
2017-01-21,NC State,Wake Forest,88,93
2017-01-21,Florida State,Louisville,73,68
2017-01-21,Duke,Miami (FL),70,58
2017-01-21,Boston College,North Carolina,82,90
2017-01-22,Clemson,Virginia Tech,81,82
2017-01-23,Duke,NC State,82,84
2017-01-24,Notre Dame,Virginia,54,71
2017-01-24,Pittsburgh,Louisville,51,106
2017-01-24,Syracuse,Wake Forest,81,76
2017-01-25,Georgia Tech,Florida State,78,56
2017-01-25,Miami (FL),Boston College,78,77
2017-01-26,North Carolina,Virginia Tech,91,72
2017-01-28,Georgia Tech,Notre Dame,62,60
2017-01-28,Miami (FL),North Carolina,77,62
2017-01-28,Pittsburgh,Clemson,60,67
2017-01-28,Syracuse,Florida State,82,72
2017-01-28,Wake Forest,Duke,83,85
2017-01-29,Louisville,NC State,85,60
2017-01-29,Virginia Tech,Boston College,85,79
2017-01-30,Notre Dame,Duke,74,84
2017-01-31,Boston College,Wake Forest,80,85
2017-01-31,North Carolina,Pittsburgh,80,78
2017-02-01,Virginia,Virginia Tech,71,48
2017-02-01,NC State,Syracuse,93,100
2017-02-01,Clemson,Georgia Tech,74,62
2017-02-01,Miami (FL),Florida State,57,75
2017-02-04,Boston College,Louisville,67,90
2017-02-04,Duke,Pittsburgh,72,64
2017-02-04,NC State,Miami (FL),79,84
2017-02-04,Syracuse,Virginia,66,62
2017-02-04,Wake Forest,Georgia Tech,81,69
2017-02-05,Florida State,Clemson,109,61
2017-02-05,North Carolina,Notre Dame,83,76
2017-02-06,Virginia,Louisville,71,55
2017-02-07,Notre Dame,Wake Forest,88,81
2017-02-07,Clemson,Syracuse,81,82
2017-02-08,Miami (FL),Virginia Tech,74,68
2017-02-08,Boston College,Pittsburgh,72,83
2017-02-08,Florida State,NC State,95,71
2017-02-09,Duke,North Carolina,86,78
2017-02-11,Wake Forest,NC State,88,58
2017-02-11,Duke,Clemson,64,62
2017-02-11,Georgia Tech,Boston College,65,54
2017-02-11,Louisville,Miami (FL),71,66
2017-02-11,Notre Dame,Florida State,84,72
2017-02-11,Pittsburgh,Syracuse,80,75
2017-02-12,Virginia Tech,Virginia,80,78
2017-02-13,Syracuse,Louisville,72,76
2017-02-14,Pittsburgh,Virginia Tech,63,66
2017-02-14,Clemson,Wake Forest,95,83
2017-02-14,Boston College,Notre Dame,76,84
2017-02-15,Miami (FL),Georgia Tech,70,61
2017-02-15,NC State,North Carolina,73,97
2017-02-15,Virginia,Duke,55,65
2017-02-18,Duke,Wake Forest,99,94
2017-02-18,Louisville,Virginia Tech,94,90
2017-02-18,Miami (FL),Clemson,71,65
2017-02-18,NC State,Notre Dame,72,81
2017-02-18,North Carolina,Virginia,65,41
2017-02-18,Pittsburgh,Florida State,80,66
2017-02-19,Georgia Tech,Syracuse,71,65
2017-02-20,Virginia,Miami (FL),48,54
2017-02-20,Florida State,Boston College,104,72
2017-02-21,Georgia Tech,NC State,69,71
2017-02-21,Virginia Tech,Clemson,71,70
2017-02-22,North Carolina,Louisville,74,63
2017-02-22,Syracuse,Duke,78,75
2017-02-22,Wake Forest,Pittsburgh,63,59
2017-02-25,Boston College,Virginia Tech,75,91
2017-02-25,Clemson,Florida State,74,76
2017-02-25,Miami (FL),Duke,55,50
2017-02-25,NC State,Virginia,55,70
2017-02-25,Pittsburgh,North Carolina,67,85
2017-02-26,Notre Dame,Georgia Tech,64,60
2017-02-26,Louisville,Syracuse,88,68
2017-02-27,Virginia,North Carolina,53,43
2017-02-27,Virginia Tech,Miami (FL),66,61
2017-02-28,Duke,Florida State,75,70
2017-02-28,Georgia Tech,Pittsburgh,61,52
2017-03-01,Clemson,NC State,78,74
2017-03-01,Notre Dame,Boston College,82,66
2017-03-01,Wake Forest,Louisville,88,81
2017-03-04,Virginia Tech,Wake Forest,84,89
2017-03-04,Virginia,Pittsburgh,67,42
2017-03-04,North Carolina,Duke,90,83
2017-03-04,Syracuse,Georgia Tech,90,61
2017-03-04,Florida State,Miami (FL),66,57
2017-03-04,Clemson,Boston College,82,68
2017-03-04,Louisville,Notre Dame,71,64
2017-03-07,Clemson,NC State,75,61
2017-03-07,Georgia Tech,Pittsburgh,59,61
2017-03-07,Wake Forest,Boston College,92,78
2017-03-08,Duke,Clemson,79,72
2017-03-08,Syracuse,Miami (FL),57,62
2017-03-08,Virginia,Pittsburgh,75,63
2017-03-08,Virginia Tech,Wake Forest,99,90
2017-03-09,Notre Dame,Virginia,71,58
2017-03-09,North Carolina,Miami (FL),78,53
2017-03-09,Louisville,Duke,77,81
2017-03-09,Florida State,Virginia Tech,74,68
2017-03-10,Florida State,Notre Dame,73,77
2017-03-10,North Carolina,Duke,83,93
2017-03-11,Notre Dame,Duke,69,75
2017-12-09,Boston College,Duke,89,84
2017-12-30,Pittsburgh,Miami (FL),53,67
2017-12-30,Notre Dame,Georgia Tech,68,59
2017-12-30,Virginia,Boston College,59,58
2017-12-30,Duke,Florida State,100,93
2017-12-30,Clemson,NC State,78,62
2017-12-30,North Carolina,Wake Forest,73,69
2017-12-31,Syracuse,Virginia Tech,68,56
2018-01-02,Louisville,Pittsburgh,77,51
2018-01-03,Boston College,Clemson,70,74
2018-01-03,Florida State,North Carolina,81,80
2018-01-03,Georgia Tech,Miami (FL),64,54
2018-01-03,Notre Dame,NC State,88,58
2018-01-03,Virginia Tech,Virginia,52,78
2018-01-03,Wake Forest,Syracuse,73,67
2018-01-06,Virginia,North Carolina,61,49
2018-01-06,Syracuse,Notre Dame,49,51
2018-01-06,Virginia Tech,Pittsburgh,81,67
2018-01-06,Clemson,Louisville,74,69
2018-01-06,Boston College,Wake Forest,77,71
2018-01-06,NC State,Duke,96,85
2018-01-07,Miami (FL),Florida State,80,74
2018-01-09,North Carolina,Boston College,96,66
2018-01-09,Virginia,Syracuse,68,61
2018-01-10,Florida State,Louisville,69,73
2018-01-10,Georgia Tech,Notre Dame,60,53
2018-01-10,Pittsburgh,Duke,52,87
2018-01-10,Wake Forest,Virginia Tech,75,83
2018-01-11,NC State,Clemson,78,77
2018-01-13,Pittsburgh,Georgia Tech,54,69
2018-01-13,Notre Dame,North Carolina,68,69
2018-01-13,Louisville,Virginia Tech,94,86
2018-01-13,Florida State,Syracuse,101,90
2018-01-13,Clemson,Miami (FL),72,63
2018-01-13,Duke,Wake Forest,89,71
2018-01-14,Virginia,NC State,68,51
2018-01-15,Boston College,Florida State,81,75
2018-01-15,Miami (FL),Duke,75,83
2018-01-16,North Carolina,Clemson,87,79
2018-01-16,Notre Dame,Louisville,78,82
2018-01-16,Syracuse,Pittsburgh,59,45
2018-01-18,Georgia Tech,Virginia,48,64
2018-01-18,NC State,Wake Forest,72,63
2018-01-20,Virginia Tech,Florida State,82,91
2018-01-20,North Carolina,Georgia Tech,80,66
2018-01-20,Clemson,Notre Dame,67,58
2018-01-20,Duke,Pittsburgh,81,54
2018-01-21,Louisville,Boston College,77,69
2018-01-21,NC State,Miami (FL),81,86
2018-01-21,Wake Forest,Virginia,49,59
2018-01-22,Virginia Tech,North Carolina,80,69
2018-01-23,Virginia,Clemson,61,36
2018-01-23,Wake Forest,Duke,70,84
2018-01-24,Florida State,Georgia Tech,88,77
2018-01-24,Miami (FL),Louisville,78,75
2018-01-24,Pittsburgh,NC State,68,72
2018-01-24,Syracuse,Boston College,81,63
2018-01-27,Pittsburgh,Syracuse,55,60
2018-01-27,Notre Dame,Virginia Tech,75,80
2018-01-27,North Carolina,NC State,91,95
2018-01-27,Duke,Virginia,63,65
2018-01-27,Florida State,Miami (FL),103,94
2018-01-27,Louisville,Wake Forest,96,77
2018-01-28,Georgia Tech,Clemson,70,72
2018-01-29,Duke,Notre Dame,88,66
2018-01-30,Clemson,North Carolina,82,78
2018-01-31,Virginia,Louisville,74,64
2018-01-31,Wake Forest,Florida State,76,72
2018-01-31,Miami (FL),Pittsburgh,69,57
2018-01-31,Boston College,Virginia Tech,80,85
2018-01-31,Georgia Tech,Syracuse,55,51
2018-02-03,Louisville,Florida State,76,80
2018-02-03,NC State,Notre Dame,76,58
